CMDLINE python do_LUVex_survey.py
MEM 1.839844 1648155570.5105
MEM 11.222656 1648155570.6323
MEM 20.964844 1648155570.7455
MEM 38.839844 1648155570.8688
MEM 47.792969 1648155570.9849
MEM 51.742188 1648155571.1059
MEM 52.511719 1648155571.2272
MEM 57.285156 1648155571.3478
MEM 59.992188 1648155571.4601
MEM 62.656250 1648155571.5817
MEM 70.355469 1648155571.7034
MEM 76.605469 1648155571.8264
MEM 80.332031 1648155571.9479
MEM 89.871094 1648155572.0699
MEM 96.246094 1648155572.1903
MEM 96.761719 1648155572.3114
MEM 104.605469 1648155572.4322
MEM 120.824219 1648155572.5537
MEM 124.718750 1648155572.6758
MEM 130.226562 1648155572.7971
MEM 138.207031 1648155572.9118
MEM 148.523438 1648155573.0243
MEM 167.382812 1648155573.1468
MEM 482.410156 1648155573.2638
MEM 524.125000 1648155573.3856
MEM 524.132812 1648155573.4975
MEM 520.074219 1648155573.6137
MEM 524.132812 1648155573.7322
MEM 524.132812 1648155573.8484
MEM 525.480469 1648155573.9645
MEM 521.480469 1648155574.0802
MEM 525.542969 1648155574.1957
MEM 525.542969 1648155574.3108
MEM 521.488281 1648155574.4260
MEM 525.546875 1648155574.5417
MEM 525.558594 1648155574.6572
MEM 524.277344 1648155574.7727
MEM 517.710938 1648155574.8884
MEM 525.574219 1648155575.0040
MEM 524.289062 1648155575.1195
MEM 517.718750 1648155575.2350
MEM 525.574219 1648155575.3505
MEM 525.597656 1648155575.4659
MEM 517.726562 1648155575.5817
MEM 525.582031 1648155575.6972
MEM 525.582031 1648155575.8127
MEM 521.527344 1648155575.9281
MEM 517.738281 1648155576.0436
MEM 525.593750 1648155576.1588
MEM 524.296875 1648155576.2743
MEM 517.746094 1648155576.3900
MEM 525.613281 1648155576.5063
MEM 525.613281 1648155576.6214
MEM 521.609375 1648155576.7380
MEM 517.761719 1648155576.8535
MEM 525.621094 1648155576.9688
MEM 524.589844 1648155577.0844
MEM 517.765625 1648155577.1999
MEM 525.617188 1648155577.3152
MEM 521.562500 1648155577.4306
