CMDLINE python do_LUVex_survey.py
MEM 517.773438 1648155577.5462
MEM 525.628906 1648155577.6610
MEM 525.636719 1648155577.7765
MEM 521.062500 1648155577.8920
MEM 525.648438 1648155578.0077
MEM 525.648438 1648155578.1232
MEM 522.109375 1648155578.2388
MEM 517.796875 1648155578.3546
MEM 525.656250 1648155578.4700
MEM 525.656250 1648155578.5865
MEM 521.597656 1648155578.7020
MEM 517.800781 1648155578.8174
MEM 525.660156 1648155578.9325
MEM 525.664062 1648155579.0479
MEM 518.062500 1648155579.1635
MEM 525.667969 1648155579.2790
MEM 525.671875 1648155579.3941
MEM 521.621094 1648155579.5094
MEM 517.832031 1648155579.6252
MEM 525.687500 1648155579.7401
MEM 525.691406 1648155579.8556
MEM 521.636719 1648155579.9711
MEM 517.839844 1648155580.0866
MEM 525.558594 1648155580.2021
MEM 521.636719 1648155580.3175
MEM 517.843750 1648155580.4330
MEM 525.699219 1648155580.5481
MEM 525.703125 1648155580.6636
MEM 521.128906 1648155580.7791
MEM 525.714844 1648155580.8947
MEM 525.714844 1648155581.0102
MEM 525.464844 1648155581.1262
MEM 520.378906 1648155581.2418
MEM 525.730469 1648155581.3574
MEM 525.734375 1648155581.4727
MEM 524.453125 1648155581.5884
MEM 517.882812 1648155581.7040
MEM 525.738281 1648155581.8191
MEM 525.742188 1648155581.9346
MEM 521.683594 1648155582.0506
MEM 517.890625 1648155582.1661
MEM 525.746094 1648155582.2811
MEM 525.753906 1648155582.3966
MEM 521.699219 1648155582.5122
MEM 517.906250 1648155582.6277
MEM 525.765625 1648155582.7427
MEM 525.773438 1648155582.8581
MEM 520.433594 1648155582.9736
MEM 525.777344 1648155583.0895
MEM 525.777344 1648155583.2049
MEM 524.496094 1648155583.3203
MEM 518.179688 1648155583.4360
MEM 525.781250 1648155583.5515
MEM 525.781250 1648155583.6666
MEM 521.726562 1648155583.7822
MEM 517.933594 1648155583.8978
MEM 525.792969 1648155584.0129
MEM 525.792969 1648155584.1283
MEM 521.742188 1648155584.2438
MEM 517.949219 1648155584.3593
MEM 525.812500 1648155584.4744
MEM 525.812500 1648155584.5903
MEM 521.242188 1648155584.7058
MEM 525.820312 1648155584.8213
MEM 525.820312 1648155584.9367
MEM 525.304688 1648155585.0522
MEM 521.761719 1648155585.1690
MEM 525.824219 1648155585.2845
MEM 525.824219 1648155585.3998
MEM 522.542969 1648155585.5154
MEM 517.976562 1648155585.6311
MEM 525.835938 1648155585.7461
MEM 525.843750 1648155585.8615
MEM 521.531250 1648155585.9771
MEM 525.851562 1648155586.0926
MEM 525.851562 1648155586.2080
MEM 525.082031 1648155586.3235
MEM 518.000000 1648155586.4390
MEM 525.855469 1648155586.5546
MEM 525.855469 1648155586.6713
MEM 524.574219 1648155586.7868
MEM 518.007812 1648155586.9024
MEM 525.863281 1648155587.0183
MEM 525.867188 1648155587.1348
MEM 522.585938 1648155587.2502
MEM 518.023438 1648155587.3659
MEM 525.878906 1648155587.4814
MEM 525.886719 1648155587.5965
MEM 521.832031 1648155587.7119
MEM 518.039062 1648155587.8274
MEM 525.894531 1648155587.9423
MEM 525.894531 1648155588.0578
MEM 521.839844 1648155588.1748
MEM 520.554688 1648155588.2933
MEM 525.898438 1648155588.4087
MEM 525.898438 1648155588.5239
MEM 524.617188 1648155588.6394
MEM 518.308594 1648155588.7550
MEM 525.914062 1648155588.8706
MEM 525.902344 1648155588.9857
MEM 521.863281 1648155589.1011
MEM 518.074219 1648155589.2180
MEM 525.929688 1648155589.3337
MEM 525.933594 1648155589.4489
MEM 524.648438 1648155589.5652
MEM 518.078125 1648155589.6809
MEM 525.933594 1648155589.7964
MEM 525.933594 1648155589.9115
MEM 521.875000 1648155590.0270
MEM 518.332031 1648155590.1437
MEM 525.937500 1648155590.2594
MEM 525.937500 1648155590.3745
MEM 522.144531 1648155590.4899
MEM 518.089844 1648155590.6058
MEM 525.953125 1648155590.7213
MEM 525.953125 1648155590.8364
MEM 521.898438 1648155590.9519
MEM 518.101562 1648155591.0675
MEM 525.957031 1648155591.1825
MEM 525.957031 1648155591.2979
MEM 521.898438 1648155591.4134
MEM 518.101562 1648155591.5290
MEM 525.957031 1648155591.6441
MEM 525.960938 1648155591.7598
MEM 521.902344 1648155591.8753
MEM 518.109375 1648155591.9908
MEM 525.968750 1648155592.1059
MEM 525.972656 1648155592.2213
MEM 521.921875 1648155592.3383
MEM 518.125000 1648155592.4538
MEM 525.984375 1648155592.5691
MEM 524.699219 1648155592.6846
MEM 518.640625 1648155592.8002
MEM 525.984375 1648155592.9157
MEM 525.984375 1648155593.0324
MEM 524.699219 1648155593.1479
MEM 518.640625 1648155593.2635
MEM 525.988281 1648155593.3789
MEM 525.988281 1648155593.4943
MEM 524.710938 1648155593.6098
MEM 518.140625 1648155593.7254
MEM 526.003906 1648155593.8408
MEM 526.003906 1648155593.9559
MEM 521.949219 1648155594.0714
MEM 518.152344 1648155594.1869
MEM 526.007812 1648155594.3020
MEM 526.007812 1648155594.4175
MEM 521.949219 1648155594.5332
MEM 518.152344 1648155594.6487
MEM 526.007812 1648155594.7638
MEM 526.011719 1648155594.8793
MEM 521.953125 1648155594.9947
MEM 518.160156 1648155595.1103
MEM 526.000000 1648155595.2250
MEM 526.023438 1648155595.3404
MEM 521.972656 1648155595.4561
MEM 518.175781 1648155595.5716
MEM 526.035156 1648155595.6867
MEM 526.035156 1648155595.8022
MEM 521.976562 1648155595.9178
MEM 526.035156 1648155596.0333
MEM 526.031250 1648155596.1488
MEM 521.976562 1648155596.2644
MEM 526.035156 1648155596.3802
MEM 526.039062 1648155596.4957
MEM 524.753906 1648155596.6111
MEM 518.191406 1648155596.7267
MEM 526.046875 1648155596.8417
MEM 526.054688 1648155596.9575
MEM 521.996094 1648155597.0729
MEM 518.207031 1648155597.1885
MEM 526.062500 1648155597.3036
MEM 526.066406 1648155597.4189
MEM 522.007812 1648155597.5345
MEM 518.210938 1648155597.6500
MEM 526.066406 1648155597.7654
MEM 526.066406 1648155597.8809
MEM 521.492188 1648155597.9964
MEM 526.066406 1648155598.1119
MEM 526.050781 1648155598.2273
MEM 524.789062 1648155598.3427
MEM 518.222656 1648155598.4582
MEM 526.082031 1648155598.5742
MEM 526.085938 1648155598.6894
MEM 522.031250 1648155598.8050
MEM 518.234375 1648155598.9218
MEM 526.089844 1648155599.0371
MEM 526.089844 1648155599.1541
MEM 522.031250 1648155599.2696
MEM 518.234375 1648155599.3856
MEM 526.089844 1648155599.5007
MEM 526.093750 1648155599.6159
MEM 522.035156 1648155599.7315
MEM 518.242188 1648155599.8481
MEM 526.097656 1648155599.9629
MEM 526.105469 1648155600.0784
MEM 522.046875 1648155600.1937
MEM 518.257812 1648155600.3091
MEM 526.113281 1648155600.4241
MEM 526.117188 1648155600.5397
MEM 522.058594 1648155600.6553
MEM 518.261719 1648155600.7708
MEM 526.117188 1648155600.8861
MEM 525.601562 1648155601.0015
MEM 520.773438 1648155601.1170
MEM 518.261719 1648155601.2384
MEM 526.121094 1648155601.3544
MEM 524.839844 1648155601.4701
MEM 518.273438 1648155601.5858
MEM 526.132812 1648155601.7013
MEM 526.136719 1648155601.8165
MEM 522.082031 1648155601.9320
MEM 518.285156 1648155602.0476
MEM 526.140625 1648155602.1629
MEM 526.140625 1648155602.2783
MEM 522.082031 1648155602.3937
MEM 518.285156 1648155602.5093
MEM 526.140625 1648155602.6262
MEM 526.144531 1648155602.7415
MEM 522.085938 1648155602.8570
MEM 518.292969 1648155602.9730
MEM 526.148438 1648155603.0883
MEM 525.640625 1648155603.2038
MEM 520.812500 1648155603.3193
MEM 526.164062 1648155603.4348
MEM 526.164062 1648155603.5500
MEM 522.882812 1648155603.6654
MEM 518.312500 1648155603.7811
MEM 526.167969 1648155603.8966
MEM 526.167969 1648155604.0118
MEM 522.109375 1648155604.1273
MEM 518.312500 1648155604.2428
MEM 526.167969 1648155604.3577
MEM 526.171875 1648155604.4732
MEM 522.117188 1648155604.5887
MEM 518.324219 1648155604.7049
MEM 526.183594 1648155604.8198
MEM 526.187500 1648155604.9360
MEM 522.136719 1648155605.0515
MEM 518.339844 1648155605.1670
MEM 526.199219 1648155605.2820
MEM 526.199219 1648155605.3978
MEM 521.882812 1648155605.5131
MEM 526.199219 1648155605.6287
MEM 526.199219 1648155605.7441
MEM 525.167969 1648155605.8596
MEM 521.867188 1648155605.9765
MEM 518.347656 1648155606.0933
MEM 526.203125 1648155606.2084
MEM 526.210938 1648155606.3238
MEM 521.378906 1648155606.4393
MEM 526.218750 1648155606.5548
MEM 526.218750 1648155606.6700
MEM 522.164062 1648155606.7855
MEM 518.367188 1648155606.9011
MEM 526.222656 1648155607.0160
MEM 526.222656 1648155607.1315
MEM 522.164062 1648155607.2469
MEM 518.367188 1648155607.3624
MEM 526.222656 1648155607.4780
MEM 526.226562 1648155607.5936
MEM 522.167969 1648155607.7108
MEM 518.375000 1648155607.8263
MEM 526.234375 1648155607.9430
MEM 526.238281 1648155608.0585
MEM 522.187500 1648155608.1741
MEM 518.390625 1648155608.2896
MEM 526.250000 1648155608.4047
MEM 526.250000 1648155608.5201
MEM 522.191406 1648155608.6356
MEM 518.394531 1648155608.7511
MEM 526.250000 1648155608.8664
MEM 525.218750 1648155608.9819
MEM 518.906250 1648155609.0974
MEM 526.253906 1648155609.2130
MEM 526.253906 1648155609.3281
MEM 522.460938 1648155609.4435
MEM 518.406250 1648155609.5594
MEM 526.269531 1648155609.6749
MEM 526.269531 1648155609.7900
MEM 522.214844 1648155609.9054
MEM 518.417969 1648155610.0209
MEM 526.273438 1648155610.1359
MEM 526.273438 1648155610.2515
MEM 522.214844 1648155610.3670
MEM 518.417969 1648155610.4824
MEM 526.273438 1648155610.5993
MEM 526.277344 1648155610.7147
MEM 522.218750 1648155610.8303
MEM 518.425781 1648155610.9457
MEM 526.285156 1648155611.0607
MEM 526.289062 1648155611.1761
MEM 521.464844 1648155611.2916
MEM 526.296875 1648155611.4071
MEM 526.300781 1648155611.5225
MEM 525.015625 1648155611.6381
MEM 518.957031 1648155611.7536
MEM 526.300781 1648155611.8692
MEM 526.300781 1648155611.9843
MEM 522.242188 1648155612.0998
MEM 526.296875 1648155612.2154
MEM 526.304688 1648155612.3306
MEM 525.019531 1648155612.4470
MEM 518.457031 1648155612.5627
MEM 526.312500 1648155612.6782
MEM 526.320312 1648155612.7933
MEM 522.519531 1648155612.9088
MEM 518.472656 1648155613.0245
MEM 526.328125 1648155613.1401
MEM 526.332031 1648155613.2552
MEM 522.273438 1648155613.3707
MEM 518.476562 1648155613.4862
MEM 526.332031 1648155613.6013
MEM 526.332031 1648155613.7167
MEM 522.273438 1648155613.8323
MEM 518.476562 1648155613.9479
MEM 526.335938 1648155614.0634
MEM 526.339844 1648155614.1788
MEM 522.285156 1648155614.2943
MEM 518.496094 1648155614.4099
MEM 526.351562 1648155614.5249
MEM 526.355469 1648155614.6410
MEM 522.296875 1648155614.7564
MEM 526.355469 1648155614.8742
MEM 526.355469 1648155614.9934
MEM 525.070312 1648155615.1103
MEM 521.011719 1648155615.2262
MEM 526.355469 1648155615.3420
MEM 526.359375 1648155615.4576
MEM 525.585938 1648155615.5734
MEM 521.273438 1648155615.6893
MEM 526.363281 1648155615.8050
MEM 526.371094 1648155615.9225
MEM 526.371094 1648155616.0385
MEM 522.320312 1648155616.1545
MEM 518.527344 1648155616.2703
MEM 526.382812 1648155616.3856
MEM 526.382812 1648155616.5017
MEM 522.324219 1648155616.6175
MEM 518.527344 1648155616.7347
MEM 526.382812 1648155616.8506
MEM 526.382812 1648155616.9661
MEM 522.324219 1648155617.0845
MEM 526.386719 1648155617.2006
MEM 526.390625 1648155617.3164
MEM 522.335938 1648155617.4322
MEM 518.546875 1648155617.5486
MEM 526.402344 1648155617.6640
MEM 526.406250 1648155617.7808
MEM 522.347656 1648155617.8966
MEM 518.554688 1648155618.0124
MEM 526.410156 1648155618.1284
MEM 526.410156 1648155618.2448
MEM 522.351562 1648155618.3611
MEM 518.554688 1648155618.4769
MEM 526.414062 1648155618.5922
MEM 526.414062 1648155618.7092
MEM 522.359375 1648155618.8250
MEM 518.562500 1648155618.9410
MEM 526.425781 1648155619.0566
MEM 526.425781 1648155619.1720
MEM 522.375000 1648155619.2897
MEM 526.433594 1648155619.4064
MEM 526.437500 1648155619.5226
MEM 522.378906 1648155619.6387
MEM 518.582031 1648155619.7545
MEM 526.437500 1648155619.8699
MEM 526.437500 1648155619.9856
MEM 522.378906 1648155620.1015
MEM 518.582031 1648155620.2176
MEM 526.441406 1648155620.3334
MEM 526.445312 1648155620.4499
MEM 518.593750 1648155620.5640
MEM 526.453125 1648155620.6794
MEM 521.367188 1648155620.7962
MEM 526.460938 1648155620.9130
MEM 526.464844 1648155621.0317
MEM 519.125000 1648155621.1496
MEM 526.468750 1648155621.2659
MEM 526.210938 1648155621.3817
MEM 522.410156 1648155621.5026
MEM 526.468750 1648155621.6202
MEM 526.468750 1648155621.7427
MEM 522.667969 1648155621.8584
MEM 518.617188 1648155621.9743
MEM 526.472656 1648155622.0897
MEM 526.480469 1648155622.2066
MEM 525.707031 1648155622.3223
MEM 521.656250 1648155622.4380
MEM 526.488281 1648155622.5536
MEM 526.492188 1648155622.6693
MEM 526.492188 1648155622.7849
MEM 522.433594 1648155622.9004
MEM 523.808594 1648155623.0160
MEM 526.492188 1648155623.1313
MEM 526.492188 1648155623.2467
MEM 522.433594 1648155623.3623
MEM 518.640625 1648155623.4778
MEM 526.496094 1648155623.5932
MEM 526.500000 1648155623.7088
MEM 522.445312 1648155623.8243
MEM 518.652344 1648155623.9405
MEM 526.511719 1648155624.0553
MEM 526.515625 1648155624.1709
MEM 522.460938 1648155624.2866
MEM 518.664062 1648155624.4022
MEM 526.519531 1648155624.5172
MEM 526.519531 1648155624.6327
MEM 522.460938 1648155624.7483
MEM 518.664062 1648155624.8639
MEM 526.519531 1648155624.9791
MEM 526.523438 1648155625.0948
MEM 522.464844 1648155625.2108
MEM 518.675781 1648155625.3263
MEM 526.531250 1648155625.4413
MEM 526.539062 1648155625.5567
MEM 522.480469 1648155625.6723
MEM 518.687500 1648155625.7879
MEM 526.542969 1648155625.9031
MEM 526.546875 1648155626.0186
MEM 522.488281 1648155626.1342
MEM 518.691406 1648155626.2498
MEM 526.546875 1648155626.3649
MEM 526.546875 1648155626.4803
MEM 522.492188 1648155626.5957
MEM 518.695312 1648155626.7116
MEM 526.554688 1648155626.8265
MEM 526.558594 1648155626.9424
MEM 522.503906 1648155627.0584
MEM 518.714844 1648155627.1742
MEM 526.550781 1648155627.2896
MEM 526.574219 1648155627.4050
MEM 522.515625 1648155627.5206
MEM 518.718750 1648155627.6362
MEM 526.574219 1648155627.7513
MEM 526.574219 1648155627.8668
MEM 522.515625 1648155627.9825
MEM 518.718750 1648155628.0980
MEM 526.578125 1648155628.2130
MEM 526.578125 1648155628.3284
MEM 522.527344 1648155628.4440
MEM 518.730469 1648155628.5595
MEM 526.593750 1648155628.6752
MEM 526.593750 1648155628.7910
MEM 522.542969 1648155628.9066
MEM 518.750000 1648155629.0223
MEM 526.605469 1648155629.1374
MEM 526.605469 1648155629.2529
MEM 522.546875 1648155629.3684
MEM 518.750000 1648155629.4839
MEM 526.605469 1648155629.6009
MEM 526.605469 1648155629.7164
MEM 525.320312 1648155629.8318
MEM 521.265625 1648155629.9474
MEM 526.613281 1648155630.0631
MEM 526.617188 1648155630.1786
MEM 525.851562 1648155630.2941
MEM 521.792969 1648155630.4097
MEM 526.628906 1648155630.5252
MEM 526.628906 1648155630.6406
MEM 525.343750 1648155630.7559
MEM 521.285156 1648155630.8715
MEM 526.628906 1648155630.9868
MEM 526.628906 1648155631.1022
MEM 522.570312 1648155631.2178
MEM 518.777344 1648155631.3333
MEM 526.632812 1648155631.4488
MEM 526.636719 1648155631.5641
MEM 522.578125 1648155631.6797
MEM 518.789062 1648155631.7967
MEM 526.644531 1648155631.9121
MEM 526.652344 1648155632.0273
MEM 523.371094 1648155632.1428
MEM 518.800781 1648155632.2586
MEM 526.656250 1648155632.3742
MEM 526.656250 1648155632.4894
MEM 525.371094 1648155632.6048
MEM 519.054688 1648155632.7204
MEM 526.656250 1648155632.8358
MEM 526.656250 1648155632.9514
MEM 525.375000 1648155633.0667
MEM 521.578125 1648155633.1823
MEM 526.667969 1648155633.2981
MEM 526.675781 1648155633.4134
MEM 526.675781 1648155633.5289
MEM 522.621094 1648155633.6446
MEM 518.824219 1648155633.7612
MEM 526.683594 1648155633.8764
MEM 526.683594 1648155633.9920
MEM 522.625000 1648155634.1075
MEM 518.828125 1648155634.2231
MEM 526.683594 1648155634.3381
MEM 526.687500 1648155634.4536
MEM 522.628906 1648155634.5690
MEM 518.835938 1648155634.6846
MEM 526.691406 1648155634.7997
MEM 526.699219 1648155634.9152
MEM 522.644531 1648155635.0313
MEM 518.851562 1648155635.1470
MEM 526.710938 1648155635.2623
MEM 526.710938 1648155635.3775
MEM 522.652344 1648155635.4930
MEM 518.855469 1648155635.6088
MEM 526.710938 1648155635.7243
MEM 526.710938 1648155635.8393
MEM 523.167969 1648155635.9548
MEM 518.859375 1648155636.0706
MEM 526.714844 1648155636.1861
MEM 526.722656 1648155636.3015
MEM 518.867188 1648155636.4172
MEM 526.730469 1648155636.5330
MEM 526.730469 1648155636.6485
MEM 525.964844 1648155636.7648
MEM 521.906250 1648155636.8804
MEM 526.742188 1648155636.9964
MEM 526.742188 1648155637.1116
MEM 526.742188 1648155637.2271
MEM 522.683594 1648155637.3426
MEM 522.886719 1648155637.4582
MEM 526.742188 1648155637.5736
MEM 526.484375 1648155637.6891
MEM 522.171875 1648155637.8047
MEM 526.746094 1648155637.9204
MEM 526.753906 1648155638.0358
MEM 526.757812 1648155638.1519
MEM 522.703125 1648155638.2675
MEM 518.910156 1648155638.3830
MEM 526.765625 1648155638.4980
MEM 526.765625 1648155638.6134
MEM 522.707031 1648155638.7291
MEM 518.910156 1648155638.8445
MEM 526.765625 1648155638.9596
MEM 526.765625 1648155639.0754
MEM 522.710938 1648155639.1911
MEM 518.914062 1648155639.3068
MEM 526.773438 1648155639.4218
MEM 526.773438 1648155639.5374
MEM 522.722656 1648155639.6530
MEM 518.925781 1648155639.7686
MEM 526.789062 1648155639.8837
MEM 526.789062 1648155639.9990
MEM 522.734375 1648155640.1146
MEM 518.937500 1648155640.2302
MEM 526.792969 1648155640.3452
MEM 526.792969 1648155640.4614
MEM 522.734375 1648155640.5768
MEM 518.937500 1648155640.6927
MEM 526.792969 1648155640.8079
MEM 526.796875 1648155640.9234
MEM 522.722656 1648155641.0390
MEM 518.949219 1648155641.1546
MEM 526.808594 1648155641.2698
MEM 526.812500 1648155641.3857
MEM 522.757812 1648155641.5012
MEM 518.960938 1648155641.6168
MEM 526.820312 1648155641.7318
MEM 526.820312 1648155641.8472
MEM 522.761719 1648155641.9627
MEM 518.964844 1648155642.0787
MEM 526.820312 1648155642.1938
MEM 526.824219 1648155642.3091
MEM 522.765625 1648155642.4248
MEM 518.972656 1648155642.5404
MEM 526.828125 1648155642.6554
MEM 526.835938 1648155642.7713
MEM 522.777344 1648155642.8869
MEM 518.988281 1648155643.0038
MEM 526.843750 1648155643.1194
MEM 526.847656 1648155643.2346
MEM 525.562500 1648155643.3500
MEM 518.992188 1648155643.4657
MEM 526.847656 1648155643.5812
MEM 526.847656 1648155643.6977
MEM 526.847656 1648155643.8144
MEM 522.789062 1648155643.9300
MEM 518.996094 1648155644.0456
MEM 526.855469 1648155644.1606
MEM 526.859375 1648155644.2761
MEM 522.808594 1648155644.3917
MEM 519.011719 1648155644.5071
MEM 526.875000 1648155644.6221
MEM 526.875000 1648155644.7376
MEM 522.820312 1648155644.8532
MEM 520.195312 1648155644.9688
MEM 526.878906 1648155645.0840
MEM 526.878906 1648155645.1994
MEM 522.820312 1648155645.3150
MEM 520.195312 1648155645.4304
MEM 526.878906 1648155645.5458
MEM 526.882812 1648155645.6614
MEM 522.824219 1648155645.7770
MEM 519.035156 1648155645.8926
MEM 526.890625 1648155646.0078
MEM 526.898438 1648155646.1232
MEM 522.843750 1648155646.2388
MEM 519.046875 1648155646.3544
MEM 526.902344 1648155646.4695
MEM 526.902344 1648155646.5851
MEM 522.843750 1648155646.7006
MEM 519.046875 1648155646.8161
MEM 526.902344 1648155646.9313
MEM 526.902344 1648155647.0468
MEM 522.847656 1648155647.1624
MEM 519.054688 1648155647.2796
MEM 526.910156 1648155647.3947
MEM 526.917969 1648155647.5100
MEM 522.859375 1648155647.6256
MEM 519.070312 1648155647.7413
MEM 526.925781 1648155647.8567
MEM 526.929688 1648155647.9719
MEM 522.871094 1648155648.0875
MEM 519.074219 1648155648.2031
MEM 526.929688 1648155648.3185
MEM 526.929688 1648155648.4337
MEM 522.871094 1648155648.5493
MEM 519.074219 1648155648.6652
MEM 526.933594 1648155648.7807
MEM 526.933594 1648155648.8957
MEM 523.140625 1648155649.0111
MEM 519.089844 1648155649.1270
MEM 526.949219 1648155649.2426
MEM 526.953125 1648155649.3578
MEM 523.667969 1648155649.4733
MEM 519.101562 1648155649.5890
MEM 526.957031 1648155649.7045
MEM 526.957031 1648155649.8199
MEM 525.656250 1648155649.9356
MEM 519.613281 1648155650.0513
MEM 526.957031 1648155650.1668
MEM 526.960938 1648155650.2822
MEM 525.933594 1648155650.3977
MEM 519.621094 1648155650.5131
MEM 526.972656 1648155650.6287
MEM 526.972656 1648155650.7442
MEM 526.207031 1648155650.8600
MEM 521.636719 1648155650.9755
MEM 526.984375 1648155651.0911
MEM 526.984375 1648155651.2066
MEM 526.468750 1648155651.3222
MEM 522.152344 1648155651.4377
MEM 519.128906 1648155651.5540
MEM 526.984375 1648155651.6691
MEM 526.984375 1648155651.7846
MEM 522.929688 1648155651.9003
MEM 519.136719 1648155652.0158
MEM 526.996094 1648155652.1326
MEM 527.000000 1648155652.2483
MEM 522.945312 1648155652.3639
MEM 519.156250 1648155652.4795
MEM 527.011719 1648155652.5946
MEM 527.015625 1648155652.7101
MEM 522.957031 1648155652.8256
MEM 519.160156 1648155652.9412
MEM 527.015625 1648155653.0563
MEM 527.015625 1648155653.1728
MEM 522.957031 1648155653.2884
MEM 519.160156 1648155653.4038
MEM 527.019531 1648155653.5187
MEM 527.019531 1648155653.6352
MEM 522.968750 1648155653.7507
MEM 519.171875 1648155653.8663
MEM 527.035156 1648155653.9816
MEM 527.035156 1648155654.0968
MEM 522.980469 1648155654.2123
MEM 519.183594 1648155654.3282
MEM 527.039062 1648155654.4437
MEM 527.039062 1648155654.5588
MEM 525.753906 1648155654.6745
MEM 519.437500 1648155654.7900
MEM 527.039062 1648155654.9058
MEM 527.042969 1648155655.0212
MEM 525.757812 1648155655.1366
MEM 521.703125 1648155655.2522
MEM 527.050781 1648155655.3678
MEM 527.054688 1648155655.4832
MEM 527.062500 1648155655.5987
MEM 523.003906 1648155655.7143
MEM 519.210938 1648155655.8298
MEM 527.066406 1648155655.9449
MEM 527.066406 1648155656.0603
MEM 523.007812 1648155656.1759
MEM 519.210938 1648155656.2914
MEM 527.066406 1648155656.4064
MEM 527.066406 1648155656.5218
MEM 523.011719 1648155656.6374
MEM 519.214844 1648155656.7536
MEM 527.078125 1648155656.8686
MEM 527.078125 1648155656.9848
MEM 523.027344 1648155657.1002
MEM 519.234375 1648155657.2158
MEM 527.089844 1648155657.3310
MEM 527.093750 1648155657.4465
MEM 523.035156 1648155657.5620
MEM 519.238281 1648155657.6776
MEM 527.093750 1648155657.7927
MEM 527.093750 1648155657.9086
MEM 523.035156 1648155658.0257
MEM 519.242188 1648155658.1414
MEM 527.097656 1648155658.2564
MEM 527.101562 1648155658.3720
MEM 523.050781 1648155658.4875
MEM 519.253906 1648155658.6030
MEM 527.117188 1648155658.7180
MEM 527.117188 1648155658.8335
MEM 523.062500 1648155658.9491
MEM 519.265625 1648155659.0656
MEM 527.121094 1648155659.1807
MEM 527.121094 1648155659.2960
MEM 523.062500 1648155659.4115
MEM 519.265625 1648155659.5270
MEM 527.121094 1648155659.6424
MEM 527.125000 1648155659.7579
MEM 523.066406 1648155659.8734
MEM 519.277344 1648155659.9890
MEM 527.132812 1648155660.1046
MEM 527.140625 1648155660.2199
MEM 523.085938 1648155660.3354
MEM 519.292969 1648155660.4513
MEM 527.152344 1648155660.5669
MEM 527.152344 1648155660.6820
MEM 523.867188 1648155660.7975
MEM 519.296875 1648155660.9131
MEM 527.152344 1648155661.0287
MEM 527.152344 1648155661.1441
MEM 527.152344 1648155661.2641
MEM 523.097656 1648155661.3833
MEM 519.300781 1648155661.4992
MEM 526.960938 1648155661.6149
MEM 527.164062 1648155661.7305
MEM 522.855469 1648155661.8459
MEM 523.316406 1648155661.9616
MEM 527.175781 1648155662.0785
MEM 527.175781 1648155662.1940
MEM 523.117188 1648155662.3095
MEM 519.320312 1648155662.4251
MEM 527.175781 1648155662.5402
MEM 527.175781 1648155662.6557
MEM 523.117188 1648155662.7713
MEM 519.324219 1648155662.8869
MEM 527.179688 1648155663.0024
MEM 527.183594 1648155663.1180
MEM 523.128906 1648155663.2334
MEM 519.335938 1648155663.3490
MEM 527.195312 1648155663.4642
MEM 527.199219 1648155663.5796
MEM 523.144531 1648155663.6951
MEM 519.347656 1648155663.8108
MEM 527.203125 1648155663.9260
MEM 527.203125 1648155664.0414
MEM 523.144531 1648155664.1569
MEM 519.347656 1648155664.2726
MEM 527.203125 1648155664.3881
MEM 527.207031 1648155664.5033
MEM 523.132812 1648155664.6188
MEM 519.359375 1648155664.7347
MEM 527.214844 1648155664.8502
MEM 527.222656 1648155664.9654
MEM 523.164062 1648155665.0809
MEM 519.371094 1648155665.1971
MEM 527.226562 1648155665.3127
MEM 527.230469 1648155665.4277
