CMDLINE python do_LUVex_survey.py
MEM 3.058594 1648155694.4539
MEM 17.027344 1648155694.5720
MEM 36.812500 1648155694.6903
MEM 45.539062 1648155694.8087
MEM 51.015625 1648155694.9250
MEM 52.253906 1648155695.0472
MEM 58.230469 1648155695.1639
MEM 61.875000 1648155695.2809
MEM 70.011719 1648155695.3972
MEM 77.289062 1648155695.5138
MEM 88.992188 1648155695.6316
MEM 96.277344 1648155695.7485
MEM 97.519531 1648155695.8655
MEM 107.589844 1648155695.9826
MEM 123.277344 1648155696.1001
MEM 128.375000 1648155696.2180
MEM 136.144531 1648155696.3351
MEM 143.125000 1648155696.4521
MEM 158.265625 1648155696.5698
MEM 199.394531 1648155696.6866
MEM 520.281250 1648155696.8036
MEM 520.218750 1648155696.9196
MEM 524.281250 1648155697.0367
MEM 520.222656 1648155697.1528
MEM 521.253906 1648155697.2724
MEM 523.785156 1648155697.3916
MEM 524.296875 1648155697.5130
MEM 521.132812 1648155697.6304
MEM 521.136719 1648155697.7476
MEM 521.589844 1648155697.8702
MEM 523.210938 1648155697.9909
MEM 522.695312 1648155698.1103
MEM 525.722656 1648155698.2312
MEM 525.726562 1648155698.3532
MEM 525.746094 1648155698.4755
MEM 525.609375 1648155698.5933
MEM 525.746094 1648155698.7145
MEM 525.750000 1648155698.8328
MEM 525.769531 1648155698.9531
MEM 525.769531 1648155699.0713
MEM 525.789062 1648155699.1907
MEM 525.769531 1648155699.3091
MEM 525.769531 1648155699.4305
MEM 525.785156 1648155699.5465
MEM 525.789062 1648155699.6689
MEM 525.789062 1648155699.7868
MEM 525.789062 1648155699.9071
MEM 525.785156 1648155700.0263
MEM 517.953125 1648155700.1473
MEM 517.953125 1648155700.2675
MEM 517.953125 1648155700.3881
MEM 517.953125 1648155700.5078
MEM 517.972656 1648155700.6237
MEM 518.226562 1648155700.7467
MEM 521.265625 1648155700.8666
MEM 519.007812 1648155700.9833
MEM 525.835938 1648155701.1008
MEM 521.804688 1648155701.2170
MEM 525.863281 1648155701.3354
MEM 525.863281 1648155701.4535
MEM 521.808594 1648155701.5704
MEM 525.867188 1648155701.6872
MEM 525.867188 1648155701.8035
MEM 521.839844 1648155701.9202
MEM 525.898438 1648155702.0365
MEM 525.902344 1648155702.1535
MEM 521.843750 1648155702.2702
MEM 525.902344 1648155702.3863
MEM 525.898438 1648155702.5033
MEM 525.941406 1648155702.6210
MEM 521.882812 1648155702.7379
MEM 525.945312 1648155702.8547
MEM 525.949219 1648155702.9715
MEM 521.890625 1648155703.0881
MEM 525.882812 1648155703.2048
MEM 525.980469 1648155703.3227
MEM 525.980469 1648155703.4396
MEM 525.984375 1648155703.5564
MEM 525.984375 1648155703.6748
MEM 525.984375 1648155703.7917
MEM 526.015625 1648155703.9085
MEM 526.015625 1648155704.0270
MEM 526.019531 1648155704.1444
MEM 526.019531 1648155704.2612
MEM 526.019531 1648155704.3785
MEM 526.050781 1648155704.4956
MEM 526.050781 1648155704.6128
MEM 526.054688 1648155704.7316
MEM 518.203125 1648155704.8482
MEM 526.058594 1648155704.9645
MEM 522.000000 1648155705.0816
MEM 518.238281 1648155705.1977
MEM 526.093750 1648155705.3144
MEM 526.097656 1648155705.4314
MEM 526.097656 1648155705.5483
MEM 526.097656 1648155705.6652
MEM 526.097656 1648155705.7821
MEM 526.128906 1648155705.8993
MEM 526.128906 1648155706.0164
MEM 526.132812 1648155706.1352
MEM 526.132812 1648155706.2523
MEM 526.132812 1648155706.3699
MEM 526.074219 1648155706.4878
MEM 525.652344 1648155706.6049
MEM 523.660156 1648155706.7221
MEM 526.171875 1648155706.8407
MEM 518.316406 1648155706.9585
MEM 526.175781 1648155707.0744
MEM 522.113281 1648155707.1918
MEM 518.359375 1648155707.3079
MEM 526.214844 1648155707.4252
MEM 526.214844 1648155707.5425
MEM 518.359375 1648155707.6587
MEM 526.214844 1648155707.7759
MEM 522.156250 1648155707.8917
MEM 518.394531 1648155708.0087
MEM 518.394531 1648155708.1278
MEM 526.250000 1648155708.2458
MEM 522.191406 1648155708.3625
MEM 518.394531 1648155708.4781
MEM 526.250000 1648155708.5959
MEM 522.195312 1648155708.7117
MEM 518.429688 1648155708.8286
MEM 526.285156 1648155708.9466
MEM 522.230469 1648155709.0629
MEM 518.433594 1648155709.1796
MEM 526.289062 1648155709.2960
MEM 522.238281 1648155709.4131
MEM 522.171875 1648155709.5302
MEM 522.269531 1648155709.6464
MEM 522.269531 1648155709.7627
MEM 522.269531 1648155709.8795
MEM 522.273438 1648155709.9956
MEM 519.503906 1648155710.1122
MEM 521.757812 1648155710.2300
MEM 526.363281 1648155710.3467
MEM 522.304688 1648155710.4625
MEM 518.507812 1648155710.5795
MEM 526.363281 1648155710.6958
MEM 522.308594 1648155710.8125
MEM 526.367188 1648155710.9294
MEM 526.367188 1648155711.0461
MEM 522.339844 1648155711.1622
MEM 526.398438 1648155711.2791
MEM 526.406250 1648155711.3952
MEM 526.406250 1648155711.5129
MEM 518.554688 1648155711.6299
MEM 526.410156 1648155711.7462
MEM 526.410156 1648155711.8641
MEM 522.382812 1648155711.9819
MEM 526.445312 1648155712.0978
MEM 526.445312 1648155712.2148
MEM 522.386719 1648155712.3316
MEM 526.445312 1648155712.4500
MEM 526.445312 1648155712.5664
MEM 522.386719 1648155712.6829
MEM 526.480469 1648155712.7997
MEM 522.421875 1648155712.9155
MEM 518.625000 1648155713.0325
MEM 526.480469 1648155713.1492
MEM 522.421875 1648155713.2655
MEM 518.632812 1648155713.3823
MEM 518.636719 1648155713.5002
MEM 526.429688 1648155713.6164
MEM 522.468750 1648155713.7333
MEM 526.527344 1648155713.8494
MEM 526.527344 1648155713.9663
MEM 522.468750 1648155714.0830
MEM 518.675781 1648155714.2009
MEM 526.531250 1648155714.3180
MEM 522.472656 1648155714.4345
MEM 526.562500 1648155714.5521
MEM 526.562500 1648155714.6688
MEM 522.503906 1648155714.7844
MEM 522.710938 1648155714.9021
