CMDLINE /usr/bin/python aplc.py
MEM 0.824219 1554331924.9262
MEM 23.734375 1554331925.0315
MEM 31.863281 1554331925.1368
MEM 31.988281 1554331925.2422
MEM 32.242188 1554331925.3472
MEM 32.500000 1554331925.4523
MEM 32.757812 1554331925.5574
MEM 32.757812 1554331925.6666
MEM 32.757812 1554331925.7735
MEM 32.757812 1554331925.8914
MEM 32.757812 1554331926.0094
MEM 36.996094 1554331926.1165
MEM 42.070312 1554331926.2219
MEM 44.335938 1554331926.3275
MEM 51.828125 1554331926.4328
MEM 60.523438 1554331926.5381
MEM 62.746094 1554331926.6584
MEM 64.515625 1554331926.7801
MEM 65.886719 1554331926.9016
MEM 69.937500 1554331927.0231
MEM 72.496094 1554331927.1447
MEM 78.820312 1554331927.2514
MEM 84.968750 1554331927.3672
MEM 87.546875 1554331927.4835
MEM 90.628906 1554331927.5994
MEM 98.851562 1554331927.7074
MEM 101.171875 1554331927.8358
MEM 101.890625 1554331927.9422
MEM 102.796875 1554331928.0559
MEM 104.371094 1554331928.1774
MEM 105.332031 1554331928.2841
MEM 107.570312 1554331928.3894
MEM 186.667969 1554331928.4980
MEM 172.746094 1554331928.6045
MEM 191.050781 1554331928.7112
MEM 206.179688 1554331928.8175
MEM 289.292969 1554331928.9245
MEM 357.277344 1554331929.0315
MEM 396.722656 1554331929.1385
MEM 396.808594 1554331929.2455
MEM 364.871094 1554331929.3526
MEM 397.203125 1554331929.4595
MEM 397.160156 1554331929.5665
MEM 365.226562 1554331929.6737
MEM 397.195312 1554331929.7804
MEM 397.257812 1554331929.8875
MEM 365.328125 1554331929.9946
MEM 397.562500 1554331930.1014
MEM 397.613281 1554331930.2085
MEM 365.675781 1554331930.3156
MEM 397.644531 1554331930.4224
MEM 397.714844 1554331930.5303
MEM 397.714844 1554331930.6386
MEM 370.414062 1554331930.7456
MEM 398.000000 1554331930.8525
MEM 398.062500 1554331930.9594
MEM 373.351562 1554331931.0665
MEM 398.101562 1554331931.1734
MEM 398.164062 1554331931.2803
MEM 366.480469 1554331931.3873
MEM 398.449219 1554331931.4944
MEM 398.519531 1554331931.6015
MEM 373.285156 1554331931.7085
MEM 398.550781 1554331931.8155
MEM 398.617188 1554331931.9224
MEM 371.851562 1554331932.0295
MEM 398.921875 1554331932.1365
MEM 398.968750 1554331932.2433
MEM 374.253906 1554331932.3504
MEM 392.234375 1554331932.4574
MEM 399.074219 1554331932.5643
MEM 374.355469 1554331932.6714
MEM 399.105469 1554331932.7783
MEM 367.714844 1554331932.8867
MEM 399.421875 1554331932.9939
MEM 387.082031 1554331933.1008
MEM 367.812500 1554331933.2079
MEM 399.519531 1554331933.3149
MEM 387.441406 1554331933.4218
MEM 367.917969 1554331933.5288
MEM 399.964844 1554331933.6359
MEM 387.789062 1554331933.7428
MEM 368.269531 1554331933.8498
MEM 399.976562 1554331933.9568
MEM 387.636719 1554331934.0637
MEM 368.367188 1554331934.1707
MEM 400.074219 1554331934.2777
MEM 387.480469 1554331934.3846
MEM 368.722656 1554331934.4917
MEM 400.429688 1554331934.5986
MEM 388.085938 1554331934.7055
MEM 368.824219 1554331934.8125
MEM 400.531250 1554331934.9193
MEM 368.593750 1554331935.0274
MEM 400.562500 1554331935.1345
MEM 384.902344 1554331935.2414
MEM 368.886719 1554331935.3483
MEM 400.855469 1554331935.4553
MEM 385.449219 1554331935.5622
MEM 368.984375 1554331935.6692
MEM 400.953125 1554331935.7760
MEM 387.617188 1554331935.8829
MEM 369.085938 1554331935.9899
MEM 401.054688 1554331936.0972
MEM 399.058594 1554331936.2042
MEM 369.191406 1554331936.3112
MEM 401.160156 1554331936.4182
MEM 399.417969 1554331936.5253
MEM 369.289062 1554331936.6323
MEM 401.257812 1554331936.7393
MEM 399.519531 1554331936.8464
MEM 369.386719 1554331936.9534
MEM 401.718750 1554331937.0604
MEM 369.906250 1554331937.1676
MEM 401.613281 1554331937.2746
MEM 369.679688 1554331937.3817
MEM 401.648438 1554331937.4886
MEM 401.710938 1554331937.5956
MEM 369.781250 1554331937.7027
MEM 401.750000 1554331937.8096
MEM 401.816406 1554331937.9166
MEM 369.878906 1554331938.0238
MEM 401.847656 1554331938.1307
MEM 401.917969 1554331938.2378
MEM 369.984375 1554331938.3450
MEM 401.953125 1554331938.4519
MEM 402.015625 1554331938.5589
MEM 370.085938 1554331938.6661
MEM 402.054688 1554331938.7730
MEM 402.117188 1554331938.8800
MEM 370.183594 1554331938.9871
MEM 402.480469 1554331939.0940
MEM 402.410156 1554331939.2014
MEM 370.472656 1554331939.3082
MEM 386.457031 1554331939.4165
MEM 370.800781 1554331939.5234
MEM 402.507812 1554331939.6306
MEM 389.914062 1554331939.7375
MEM 370.902344 1554331939.8446
MEM 402.609375 1554331939.9516
MEM 390.011719 1554331940.0585
MEM 371.007812 1554331940.1656
MEM 402.714844 1554331940.2726
MEM 386.761719 1554331940.3794
MEM 371.105469 1554331940.4864
MEM 402.812500 1554331940.5934
MEM 390.214844 1554331940.7004
MEM 371.203125 1554331940.8074
MEM 403.257812 1554331940.9145
MEM 390.503906 1554331941.0214
MEM 371.496094 1554331941.1284
MEM 403.203125 1554331941.2355
MEM 390.859375 1554331941.3424
MEM 371.597656 1554331941.4496
MEM 403.304688 1554331941.5566
MEM 371.371094 1554331941.6635
MEM 403.339844 1554331941.7705
MEM 387.417969 1554331941.8775
MEM 371.472656 1554331941.9844
MEM 403.441406 1554331942.0916
MEM 387.781250 1554331942.1985
MEM 371.570312 1554331942.3055
MEM 403.539062 1554331942.4124
MEM 390.203125 1554331942.5194
MEM 371.671875 1554331942.6264
MEM 403.640625 1554331942.7336
MEM 401.644531 1554331942.8406
MEM 371.964844 1554331942.9476
MEM 403.933594 1554331943.0546
MEM 402.191406 1554331943.1616
MEM 372.062500 1554331943.2686
MEM 404.031250 1554331943.3756
MEM 402.296875 1554331943.4826
MEM 372.164062 1554331943.5896
MEM 404.132812 1554331943.6966
MEM 372.492188 1554331943.8034
MEM 404.199219 1554331943.9105
MEM 388.253906 1554331944.0173
MEM 372.593750 1554331944.1243
MEM 404.300781 1554331944.2312
MEM 388.351562 1554331944.3389
MEM 372.695312 1554331944.4458
MEM 404.402344 1554331944.5528
MEM 388.449219 1554331944.6598
MEM 372.796875 1554331944.7669
MEM 404.503906 1554331944.8739
MEM 388.742188 1554331944.9814
MEM 373.082031 1554331945.0886
MEM 404.789062 1554331945.1956
MEM 388.843750 1554331945.3026
MEM 373.187500 1554331945.4097
MEM 404.894531 1554331945.5167
MEM 388.941406 1554331945.6245
MEM 373.289062 1554331945.7317
MEM 404.996094 1554331945.8398
MEM 373.062500 1554331945.9469
MEM 405.031250 1554331946.0540
MEM 389.109375 1554331946.1610
MEM 373.164062 1554331946.2679
MEM 405.132812 1554331946.3750
MEM 389.468750 1554331946.4820
MEM 373.261719 1554331946.5889
MEM 405.230469 1554331946.6958
MEM 391.894531 1554331946.8027
MEM 373.363281 1554331946.9098
MEM 405.660156 1554331947.0166
MEM 392.179688 1554331947.1235
MEM 373.656250 1554331947.2306
MEM 405.625000 1554331947.3378
MEM 403.625000 1554331947.4449
MEM 373.753906 1554331947.5520
MEM 405.722656 1554331947.6590
MEM 403.730469 1554331947.7661
MEM 373.855469 1554331947.8731
MEM 405.824219 1554331947.9801
MEM 377.789062 1554331948.0872
