CMDLINE /usr/bin/python aplc.py
MEM 405.890625 1554331948.1941
MEM 405.925781 1554331948.3010
MEM 374.281250 1554331948.4079
MEM 405.988281 1554331948.5148
MEM 406.027344 1554331948.6219
MEM 374.386719 1554331948.7288
MEM 406.093750 1554331948.8357
MEM 406.125000 1554331948.9429
MEM 374.675781 1554331949.0497
MEM 406.382812 1554331949.1566
MEM 406.417969 1554331949.2636
MEM 374.773438 1554331949.3708
MEM 406.480469 1554331949.4778
MEM 406.519531 1554331949.5847
MEM 374.878906 1554331949.6917
MEM 406.585938 1554331949.7988
MEM 406.617188 1554331949.9058
MEM 385.804688 1554331950.0129
MEM 406.687500 1554331950.1198
MEM 393.054688 1554331950.2267
MEM 406.718750 1554331950.3336
MEM 391.316406 1554331950.4405
MEM 374.855469 1554331950.5475
MEM 406.824219 1554331950.6544
MEM 393.222656 1554331950.7613
MEM 374.953125 1554331950.8693
MEM 406.921875 1554331950.9763
MEM 391.007812 1554331951.0832
MEM 375.242188 1554331951.1901
MEM 407.210938 1554331951.2971
MEM 391.550781 1554331951.4040
MEM 375.347656 1554331951.5110
MEM 407.316406 1554331951.6179
MEM 393.972656 1554331951.7248
MEM 375.445312 1554331951.8318
MEM 407.414062 1554331951.9390
MEM 405.675781 1554331952.0460
MEM 375.542969 1554331952.1530
MEM 407.511719 1554331952.2601
MEM 405.777344 1554331952.3725
MEM 407.582031 1554331952.4794
MEM 391.632812 1554331952.5863
MEM 375.972656 1554331952.6933
MEM 407.679688 1554331952.8003
MEM 395.601562 1554331952.9072
MEM 376.078125 1554331953.0142
MEM 407.785156 1554331953.1212
MEM 395.699219 1554331953.2281
MEM 376.367188 1554331953.3351
MEM 408.074219 1554331953.4422
MEM 395.476562 1554331953.5491
MEM 376.464844 1554331953.6561
MEM 408.171875 1554331953.7631
MEM 395.835938 1554331953.8752
MEM 376.566406 1554331953.9823
MEM 408.273438 1554331954.0894
MEM 406.246094 1554331954.1964
MEM 376.671875 1554331954.3033
MEM 408.378906 1554331954.4102
MEM 408.410156 1554331954.5171
MEM 408.410156 1554331954.6241
MEM 408.476562 1554331954.7312
MEM 376.546875 1554331954.8380
MEM 408.515625 1554331954.9451
MEM 406.515625 1554331955.0521
MEM 376.644531 1554331955.1590
MEM 408.613281 1554331955.2661
MEM 407.394531 1554331955.3731
MEM 376.746094 1554331955.4802
MEM 408.714844 1554331955.5872
MEM 407.234375 1554331955.6942
MEM 376.847656 1554331955.8012
MEM 408.816406 1554331955.9083
MEM 407.074219 1554331956.0153
MEM 376.949219 1554331956.1223
MEM 408.917969 1554331956.2294
MEM 406.476562 1554331956.3364
MEM 377.234375 1554331956.4434
MEM 409.203125 1554331956.5504
MEM 407.726562 1554331956.6575
MEM 377.339844 1554331956.7645
MEM 409.308594 1554331956.8717
MEM 388.746094 1554331956.9788
MEM 409.371094 1554331957.0856
MEM 409.410156 1554331957.1926
MEM 393.492188 1554331957.2995
MEM 371.808594 1554331957.4063
MEM 409.507812 1554331957.5134
MEM 393.593750 1554331957.6203
MEM 371.910156 1554331957.7271
MEM 409.609375 1554331957.8342
MEM 393.691406 1554331957.9411
MEM 372.015625 1554331958.0479
MEM 409.714844 1554331958.1550
MEM 393.792969 1554331958.2619
MEM 372.113281 1554331958.3687
MEM 409.812500 1554331958.4758
MEM 393.898438 1554331958.5827
MEM 372.214844 1554331958.6896
MEM 409.914062 1554331958.7967
MEM 393.996094 1554331958.9036
MEM 409.980469 1554331959.0118
MEM 394.035156 1554331959.1186
MEM 378.375000 1554331959.2256
MEM 410.082031 1554331959.3324
MEM 387.101562 1554331959.4395
MEM 410.304688 1554331959.5465
MEM 410.371094 1554331959.6534
MEM 385.394531 1554331959.7605
MEM 405.632812 1554331959.8675
MEM 410.472656 1554331959.9743
MEM 385.500000 1554331960.0814
MEM 397.730469 1554331960.1883
MEM 410.570312 1554331960.2952
MEM 386.375000 1554331960.4023
MEM 410.609375 1554331960.5092
MEM 410.675781 1554331960.6161
MEM 385.957031 1554331960.7232
MEM 397.937500 1554331960.8301
MEM 410.777344 1554331960.9372
MEM 384.000000 1554331961.0442
MEM 410.812500 1554331961.1513
MEM 379.167969 1554331961.2582
MEM 410.875000 1554331961.3650
MEM 410.914062 1554331961.4721
MEM 379.269531 1554331961.5789
MEM 410.976562 1554331961.6858
MEM 411.011719 1554331961.7929
MEM 379.375000 1554331961.8997
MEM 411.082031 1554331962.0065
MEM 411.113281 1554331962.1136
MEM 379.472656 1554331962.2204
MEM 411.179688 1554331962.3273
MEM 411.546875 1554331962.4344
MEM 379.761719 1554331962.5413
MEM 411.468750 1554331962.6482
MEM 411.503906 1554331962.7553
MEM 379.867188 1554331962.8621
MEM 411.574219 1554331962.9690
MEM 411.605469 1554331963.0762
MEM 379.964844 1554331963.1831
MEM 411.671875 1554331963.2901
MEM 379.738281 1554331963.3972
MEM 411.707031 1554331963.5040
MEM 395.785156 1554331963.6108
MEM 364.117188 1554331963.7177
MEM 411.808594 1554331963.8247
MEM 395.890625 1554331963.9314
MEM 374.207031 1554331964.0383
MEM 411.906250 1554331964.1453
MEM 395.992188 1554331964.2522
MEM 374.312500 1554331964.3591
MEM 412.011719 1554331964.4660
MEM 392.480469 1554331964.5730
MEM 405.289062 1554331964.6799
MEM 412.113281 1554331964.7870
MEM 396.195312 1554331964.8939
MEM 374.511719 1554331965.0007
MEM 412.210938 1554331965.1078
MEM 396.296875 1554331965.2147
MEM 369.488281 1554331965.3215
MEM 412.312500 1554331965.4288
MEM 380.671875 1554331965.5368
MEM 412.707031 1554331965.6438
MEM 387.339844 1554331965.7509
MEM 412.605469 1554331965.8578
MEM 412.667969 1554331965.9647
MEM 387.437500 1554331966.0716
MEM 412.703125 1554331966.1786
MEM 412.773438 1554331966.2854
MEM 386.507812 1554331966.3925
MEM 412.804688 1554331966.4995
MEM 412.871094 1554331966.6065
MEM 387.644531 1554331966.7135
MEM 412.910156 1554331966.8205
MEM 412.972656 1554331966.9274
MEM 387.742188 1554331967.0344
MEM 406.238281 1554331967.1414
MEM 413.078125 1554331967.2482
MEM 388.875000 1554331967.3552
MEM 413.109375 1554331967.4622
MEM 413.179688 1554331967.5694
MEM 381.246094 1554331967.6765
MEM 413.214844 1554331967.7839
MEM 398.066406 1554331967.8908
MEM 381.347656 1554331967.9978
MEM 413.316406 1554331968.1047
MEM 399.718750 1554331968.2116
MEM 381.445312 1554331968.3185
MEM 413.414062 1554331968.4258
MEM 411.679688 1554331968.5328
MEM 381.550781 1554331968.6398
MEM 413.847656 1554331968.7469
MEM 411.449219 1554331968.8539
MEM 381.839844 1554331968.9609
MEM 413.808594 1554331969.0679
MEM 411.812500 1554331969.1749
MEM 381.941406 1554331969.2820
MEM 413.910156 1554331969.3890
MEM 412.433594 1554331969.4960
MEM 382.042969 1554331969.6030
MEM 414.011719 1554331969.7105
MEM 398.093750 1554331969.8173
MEM 414.078125 1554331969.9242
MEM 387.304688 1554331970.0313
MEM 414.117188 1554331970.1383
MEM 414.179688 1554331970.2451
MEM 388.691406 1554331970.3522
MEM 414.214844 1554331970.4590
MEM 414.285156 1554331970.5662
MEM 389.050781 1554331970.6732
MEM 413.542969 1554331970.7802
MEM 414.382812 1554331970.8871
MEM 388.898438 1554331970.9942
MEM 414.421875 1554331971.1011
MEM 414.484375 1554331971.2080
MEM 389.257812 1554331971.3151
MEM 414.523438 1554331971.4221
MEM 414.589844 1554331971.5289
MEM 389.355469 1554331971.6360
MEM 414.621094 1554331971.7430
MEM 414.691406 1554331971.8498
MEM 383.085938 1554331971.9569
MEM 415.054688 1554331972.0641
MEM 383.269531 1554331972.1712
MEM 414.976562 1554331972.2783
MEM 415.015625 1554331972.3853
MEM 383.375000 1554331972.4922
MEM 415.082031 1554331972.5990
MEM 415.113281 1554331972.7062
MEM 383.476562 1554331972.8131
MEM 415.183594 1554331972.9200
MEM 415.218750 1554331973.0271
MEM 383.574219 1554331973.1339
MEM 415.281250 1554331973.2407
MEM 415.320312 1554331973.3478
MEM 383.675781 1554331973.4545
MEM 415.382812 1554331973.5614
MEM 415.417969 1554331973.6685
MEM 383.781250 1554331973.7754
MEM 415.488281 1554331973.8823
MEM 415.519531 1554331973.9893
MEM 383.878906 1554331974.0962
MEM 415.585938 1554331974.2460
MEM 390.359375 1554331974.3530
MEM 415.625000 1554331974.4600
MEM 415.687500 1554331974.5668
MEM 390.457031 1554331974.6740
MEM 414.953125 1554331974.7809
MEM 415.792969 1554331974.8878
MEM 383.855469 1554331974.9948
MEM 415.824219 1554331975.1019
MEM 415.890625 1554331975.2090
MEM 389.183594 1554331975.3160
MEM 416.253906 1554331975.4230
MEM 416.175781 1554331975.5299
MEM 390.691406 1554331975.6370
MEM 401.441406 1554331975.7439
MEM 416.281250 1554331975.8508
MEM 391.562500 1554331975.9579
MEM 416.312500 1554331976.0649
MEM 416.382812 1554331976.1718
MEM 390.894531 1554331976.2789
MEM 416.417969 1554331976.3860
MEM 400.496094 1554331976.4940
MEM 416.480469 1554331976.6010
MEM 416.519531 1554331976.7081
MEM 400.601562 1554331976.8150
MEM 393.792969 1554331976.9218
MEM 416.617188 1554331977.0289
MEM 400.703125 1554331977.1358
MEM 379.019531 1554331977.2426
MEM 416.718750 1554331977.3497
MEM 400.800781 1554331977.4565
MEM 379.125000 1554331977.5633
MEM 416.824219 1554331977.6704
MEM 400.902344 1554331977.7772
MEM 379.222656 1554331977.8841
MEM 416.921875 1554331977.9912
MEM 401.007812 1554331978.0980
MEM 379.324219 1554331978.2048
MEM 417.023438 1554331978.3119
MEM 401.105469 1554331978.4187
MEM 417.089844 1554331978.5257
MEM 385.160156 1554331978.6328
MEM 417.484375 1554331978.7398
MEM 415.574219 1554331978.8469
MEM 385.445312 1554331978.9538
MEM 417.414062 1554331979.0609
MEM 415.417969 1554331979.1680
MEM 385.542969 1554331979.2750
MEM 417.511719 1554331979.3820
MEM 415.777344 1554331979.4889
MEM 385.648438 1554331979.5960
MEM 385.972656 1554331979.7461
MEM 417.679688 1554331979.8532
MEM 405.085938 1554331979.9601
MEM 386.078125 1554331980.0672
MEM 417.785156 1554331980.1744
MEM 401.832031 1554331980.2814
MEM 386.179688 1554331980.3885
MEM 417.886719 1554331980.4955
MEM 401.937500 1554331980.6026
MEM 386.277344 1554331980.7109
MEM 413.601562 1554331980.8179
MEM 384.765625 1554331980.9249
MEM 418.023438 1554331981.0317
MEM 402.101562 1554331981.1385
MEM 370.683594 1554331981.2454
MEM 418.121094 1554331981.3526
MEM 402.207031 1554331981.4594
MEM 380.523438 1554331981.5662
MEM 418.222656 1554331981.6733
MEM 402.304688 1554331981.7802
MEM 380.628906 1554331981.8870
MEM 418.328125 1554331981.9941
MEM 402.601562 1554331982.1010
MEM 395.664062 1554331982.2079
MEM 418.488281 1554331982.3149
MEM 402.574219 1554331982.4218
MEM 418.558594 1554331982.5287
MEM 418.589844 1554331982.6358
MEM 402.671875 1554331982.7427
MEM 415.867188 1554331982.8496
MEM 418.691406 1554331982.9579
MEM 418.691406 1554331983.0649
MEM 403.542969 1554331983.1718
MEM 386.824219 1554331983.2788
MEM 418.792969 1554331983.3858
MEM 405.453125 1554331983.4926
MEM 386.921875 1554331983.5996
MEM 418.890625 1554331983.7068
MEM 417.156250 1554331983.8138
MEM 387.027344 1554331983.9208
MEM 418.996094 1554331984.0277
MEM 403.589844 1554331984.1345
MEM 387.128906 1554331984.2414
MEM 419.097656 1554331984.3485
MEM 403.437500 1554331984.4555
MEM 387.226562 1554331984.5624
MEM 419.195312 1554331984.6695
MEM 403.414062 1554331984.7764
MEM 387.453125 1554331984.8832
MEM 419.421875 1554331984.9903
MEM 387.781250 1554331985.0985
MEM 419.488281 1554331985.2571
MEM 419.527344 1554331985.3641
MEM 402.058594 1554331985.4718
MEM 375.023438 1554331985.5786
MEM 419.625000 1554331985.6856
MEM 403.710938 1554331985.7924
MEM 382.027344 1554331985.8993
MEM 419.726562 1554331986.0063
MEM 403.808594 1554331986.1132
MEM 385.007812 1554331986.2200
MEM 419.832031 1554331986.3271
MEM 404.105469 1554331986.4340
MEM 417.167969 1554331986.5409
MEM 419.992188 1554331986.6480
MEM 404.074219 1554331986.7549
MEM 382.390625 1554331986.8617
MEM 420.089844 1554331986.9687
MEM 404.175781 1554331987.0755
MEM 419.371094 1554331987.1824
MEM 404.210938 1554331987.2906
MEM 420.195312 1554331987.3975
MEM 420.257812 1554331987.5050
MEM 388.328125 1554331987.6120
MEM 420.296875 1554331987.7189
MEM 420.363281 1554331987.8259
MEM 388.425781 1554331987.9331
MEM 420.394531 1554331988.0400
MEM 420.464844 1554331988.1470
MEM 388.531250 1554331988.2541
MEM 420.500000 1554331988.3610
MEM 420.562500 1554331988.4679
MEM 388.632812 1554331988.5749
MEM 420.601562 1554331988.6820
MEM 420.664062 1554331988.7890
MEM 388.730469 1554331988.8960
MEM 420.699219 1554331989.0029
MEM 420.769531 1554331989.1099
MEM 388.957031 1554331989.2169
MEM 420.925781 1554331989.3238
MEM 420.992188 1554331989.4323
MEM 420.992188 1554331989.5393
MEM 405.046875 1554331989.6462
MEM 389.386719 1554331989.7531
MEM 421.093750 1554331989.8601
MEM 405.144531 1554331989.9678
MEM 389.492188 1554331990.0749
MEM 421.199219 1554331990.1817
MEM 397.511719 1554331990.2887
MEM 421.230469 1554331990.3958
MEM 421.296875 1554331990.5028
MEM 395.292969 1554331990.6099
MEM 421.332031 1554331990.7170
MEM 421.394531 1554331990.8240
MEM 395.199219 1554331990.9310
MEM 421.496094 1554331991.0380
MEM 421.562500 1554331991.1450
MEM 395.554688 1554331991.2520
MEM 421.593750 1554331991.3591
MEM 421.664062 1554331991.4660
MEM 395.402344 1554331991.5730
MEM 421.699219 1554331991.6812
MEM 421.761719 1554331991.7885
MEM 389.832031 1554331991.8955
MEM 421.800781 1554331992.0027
MEM 421.867188 1554331992.1097
MEM 389.929688 1554331992.2167
MEM 421.898438 1554331992.3238
MEM 421.968750 1554331992.4308
MEM 390.031250 1554331992.5378
MEM 422.000000 1554331992.6447
MEM 422.066406 1554331992.7517
MEM 390.136719 1554331992.8587
MEM 422.105469 1554331992.9657
MEM 422.167969 1554331993.0727
MEM 390.234375 1554331993.1797
MEM 422.203125 1554331993.2866
MEM 422.273438 1554331993.3936
MEM 390.335938 1554331993.5005
MEM 422.539062 1554331993.6075
MEM 422.496094 1554331993.7145
MEM 390.566406 1554331993.8214
MEM 406.550781 1554331993.9385
MEM 390.890625 1554331994.0454
MEM 422.597656 1554331994.1523
MEM 406.648438 1554331994.2594
MEM 390.992188 1554331994.3665
MEM 422.699219 1554331994.4735
MEM 406.746094 1554331994.5806
MEM 391.093750 1554331994.6876
MEM 422.800781 1554331994.7945
MEM 406.851562 1554331994.9017
MEM 391.191406 1554331995.0086
MEM 422.898438 1554331995.1155
MEM 407.148438 1554331995.2227
MEM 391.359375 1554331995.3296
MEM 423.066406 1554331995.4365
MEM 407.113281 1554331995.5436
MEM 391.460938 1554331995.6506
MEM 423.167969 1554331995.7575
MEM 407.218750 1554331995.8646
MEM 391.558594 1554331995.9716
MEM 423.265625 1554331996.1008
MEM 391.335938 1554331996.2078
MEM 423.304688 1554331996.3149
MEM 423.367188 1554331996.4219
MEM 391.433594 1554331996.5288
MEM 423.402344 1554331996.6358
MEM 423.472656 1554331996.7428
MEM 391.535156 1554331996.8497
MEM 423.503906 1554331996.9566
MEM 423.570312 1554331997.0636
MEM 391.640625 1554331997.1706
MEM 423.609375 1554331997.2774
MEM 423.671875 1554331997.3844
MEM 391.738281 1554331997.4915
MEM 423.707031 1554331997.5986
MEM 423.777344 1554331997.7056
MEM 391.839844 1554331997.8133
MEM 423.808594 1554331997.9205
MEM 421.554688 1554331998.0275
MEM 392.066406 1554331998.1345
MEM 424.035156 1554331998.2420
MEM 392.390625 1554331998.3498
MEM 424.097656 1554331998.4569
MEM 424.136719 1554331998.5650
MEM 392.496094 1554331998.6719
MEM 424.203125 1554331998.7790
MEM 424.234375 1554331998.8870
MEM 392.597656 1554331998.9938
MEM 424.304688 1554331999.1010
MEM 424.339844 1554331999.2090
MEM 392.695312 1554331999.3159
MEM 424.402344 1554331999.4231
MEM 424.441406 1554331999.5311
MEM 392.800781 1554331999.6380
MEM 424.703125 1554331999.7452
MEM 424.601562 1554331999.8531
MEM 392.964844 1554331999.9600
MEM 424.671875 1554332000.0671
MEM 424.703125 1554332000.1752
MEM 393.062500 1554332000.2820
MEM 424.769531 1554332000.3903
MEM 392.839844 1554332000.4975
MEM 424.808594 1554332000.6046
MEM 422.808594 1554332000.7116
MEM 392.937500 1554332000.8186
MEM 424.906250 1554332000.9256
MEM 422.398438 1554332001.0326
MEM 393.039062 1554332001.1396
MEM 425.007812 1554332001.2466
MEM 423.269531 1554332001.3536
MEM 393.144531 1554332001.4606
MEM 425.113281 1554332001.5675
MEM 423.113281 1554332001.6746
MEM 393.242188 1554332001.7816
MEM 425.210938 1554332001.8886
MEM 422.957031 1554332001.9956
MEM 393.339844 1554332002.1026
MEM 425.308594 1554332002.2096
MEM 422.285156 1554332002.3166
MEM 393.445312 1554332002.4236
MEM 425.414062 1554332002.5435
MEM 425.414062 1554332002.6505
MEM 425.476562 1554332002.7577
MEM 399.859375 1554332002.8648
MEM 414.867188 1554332002.9717
MEM 425.707031 1554332003.0785
MEM 400.472656 1554332003.1856
MEM 425.738281 1554332003.2926
MEM 425.808594 1554332003.3994
MEM 400.320312 1554332003.5064
MEM 425.843750 1554332003.6134
MEM 425.906250 1554332003.7204
MEM 400.164062 1554332003.8275
MEM 425.945312 1554332003.9344
MEM 426.007812 1554332004.0413
MEM 400.261719 1554332004.1483
MEM 426.281250 1554332004.2554
MEM 426.175781 1554332004.3622
MEM 400.425781 1554332004.4693
MEM 426.207031 1554332004.5762
MEM 426.273438 1554332004.6831
MEM 381.968750 1554332004.7900
MEM 426.312500 1554332004.8970
MEM 404.976562 1554332005.0040
MEM 426.375000 1554332005.1110
MEM 426.410156 1554332005.2180
MEM 410.496094 1554332005.3249
MEM 388.812500 1554332005.4317
MEM 426.511719 1554332005.5389
MEM 410.593750 1554332005.6457
MEM 388.914062 1554332005.7526
MEM 426.613281 1554332005.8597
MEM 410.691406 1554332005.9666
MEM 389.015625 1554332006.0734
MEM 426.714844 1554332006.1805
MEM 410.796875 1554332006.2874
MEM 389.113281 1554332006.3942
MEM 426.812500 1554332006.5013
MEM 410.898438 1554332006.6082
MEM 389.218750 1554332006.7151
MEM 426.917969 1554332006.8222
MEM 395.273438 1554332006.9351
MEM 426.980469 1554332007.0420
MEM 416.707031 1554332007.1489
MEM 395.378906 1554332007.2559
MEM 427.218750 1554332007.3628
MEM 414.609375 1554332007.4698
MEM 395.605469 1554332007.5771
MEM 427.312500 1554332007.6842
MEM 414.453125 1554332007.7911
MEM 395.703125 1554332007.8982
MEM 427.410156 1554332008.0053
MEM 411.464844 1554332008.1122
MEM 395.804688 1554332008.2193
MEM 427.511719 1554332008.3263
MEM 414.914062 1554332008.4332
MEM 395.910156 1554332008.5402
MEM 427.617188 1554332008.6473
MEM 414.695312 1554332008.7542
MEM 396.070312 1554332008.8612
MEM 427.777344 1554332008.9682
MEM 395.847656 1554332009.0751
MEM 427.816406 1554332009.1819
MEM 396.171875 1554332009.2889
MEM 427.878906 1554332009.3960
MEM 415.281250 1554332009.5029
MEM 396.277344 1554332009.6098
MEM 427.984375 1554332009.7169
MEM 415.640625 1554332009.8238
MEM 396.378906 1554332009.9308
MEM 428.085938 1554332010.0378
MEM 415.746094 1554332010.1447
MEM 396.476562 1554332010.2517
MEM 428.183594 1554332010.3587
MEM 415.847656 1554332010.4656
MEM 396.582031 1554332010.5725
MEM 428.289062 1554332010.6795
MEM 415.687500 1554332010.7864
MEM 396.683594 1554332010.8934
MEM 428.390625 1554332011.0005
MEM 415.792969 1554332011.1072
MEM 396.781250 1554332011.2634
MEM 428.488281 1554332011.3705
MEM 396.558594 1554332011.4776
MEM 428.527344 1554332011.5846
MEM 428.593750 1554332011.6916
MEM 396.660156 1554332011.7985
MEM 428.628906 1554332011.9053
MEM 428.699219 1554332012.0124
MEM 396.949219 1554332012.1195
MEM 428.917969 1554332012.2264
MEM 428.984375 1554332012.3334
MEM 397.054688 1554332012.4405
MEM 429.023438 1554332012.5474
MEM 429.085938 1554332012.6544
MEM 397.152344 1554332012.7616
MEM 429.121094 1554332012.8684
MEM 429.191406 1554332012.9754
MEM 397.253906 1554332013.0825
