CMDLINE python do_luvoir_telserv3_BW18_medium.py
MEM 2.605469 1558044314.7583
MEM 7.781250 1558044314.8780
MEM 8.753906 1558044314.9965
MEM 9.796875 1558044315.1164
MEM 14.031250 1558044315.2365
MEM 14.937500 1558044315.3571
MEM 15.792969 1558044315.4779
MEM 16.101562 1558044315.5981
MEM 16.851562 1558044315.7173
MEM 17.109375 1558044315.8362
MEM 17.832031 1558044315.9546
MEM 18.609375 1558044316.0742
MEM 19.082031 1558044316.1945
MEM 19.562500 1558044316.3149
MEM 20.238281 1558044316.4344
MEM 21.308594 1558044316.5533
MEM 22.273438 1558044316.6719
MEM 22.660156 1558044316.7857
MEM 23.421875 1558044316.9048
MEM 23.945312 1558044317.0233
MEM 24.316406 1558044317.1429
MEM 26.574219 1558044317.2633
MEM 27.632812 1558044317.3838
MEM 28.800781 1558044317.5035
MEM 29.769531 1558044317.6232
MEM 31.832031 1558044317.7429
MEM 32.660156 1558044317.8618
MEM 35.281250 1558044317.9808
MEM 37.750000 1558044318.1004
MEM 38.007812 1558044318.2208
MEM 38.007812 1558044318.3413
MEM 38.007812 1558044318.4611
MEM 38.007812 1558044318.5809
MEM 38.253906 1558044318.7000
MEM 38.253906 1558044318.8185
MEM 38.253906 1558044318.9377
MEM 38.398438 1558044319.0580
MEM 38.398438 1558044319.1788
MEM 38.398438 1558044319.2992
MEM 38.414062 1558044319.4190
MEM 38.566406 1558044319.5386
MEM 38.703125 1558044319.6574
MEM 38.859375 1558044319.7760
MEM 39.175781 1558044319.8953
MEM 39.441406 1558044320.0150
MEM 39.726562 1558044320.1352
MEM 40.847656 1558044320.2553
MEM 41.546875 1558044320.3746
MEM 42.140625 1558044320.4937
MEM 43.625000 1558044320.6135
MEM 44.847656 1558044320.7321
MEM 45.882812 1558044320.8567
MEM 47.550781 1558044320.9757
MEM 48.289062 1558044321.0941
MEM 48.875000 1558044321.2138
MEM 49.460938 1558044321.3339
MEM 49.847656 1558044321.4546
MEM 50.652344 1558044321.5751
MEM 50.917969 1558044321.6946
MEM 51.339844 1558044321.8138
MEM 51.566406 1558044321.9329
MEM 53.800781 1558044322.0511
MEM 54.796875 1558044322.1699
MEM 55.703125 1558044322.2912
MEM 58.046875 1558044322.4114
MEM 60.339844 1558044322.5318
MEM 62.761719 1558044322.6510
MEM 64.914062 1558044322.7700
MEM 67.507812 1558044322.8888
MEM 68.457031 1558044323.0081
MEM 69.757812 1558044323.1280
MEM 70.628906 1558044323.2481
MEM 70.871094 1558044323.3688
MEM 70.871094 1558044323.4888
MEM 70.871094 1558044323.6085
MEM 71.828125 1558044323.7280
MEM 73.253906 1558044323.8476
MEM 73.546875 1558044323.9662
MEM 74.511719 1558044324.0854
MEM 74.859375 1558044324.2055
MEM 74.859375 1558044324.3258
MEM 75.113281 1558044324.4370
MEM 199.238281 1558044324.5576
MEM 515.902344 1558044324.6780
MEM 273.457031 1558044324.7978
MEM 625.972656 1558044324.9166
MEM 372.667969 1558044325.0355
MEM 90.980469 1558044325.1531
