CMDLINE python do_luvoir_AWS_BW10_small.py
MEM 3.953125 1557942734.0101
MEM 6.546875 1557942734.1306
MEM 8.507812 1557942734.2510
MEM 9.035156 1557942734.3698
MEM 14.039062 1557942734.4887
MEM 14.937500 1557942734.6080
MEM 15.691406 1557942734.7261
MEM 16.105469 1557942734.8456
MEM 17.117188 1557942734.9656
MEM 17.714844 1557942735.0850
MEM 18.875000 1557942735.2041
MEM 20.355469 1557942735.3220
MEM 22.539062 1557942735.4408
MEM 23.636719 1557942735.5606
MEM 24.269531 1557942735.6799
MEM 26.488281 1557942735.7988
MEM 28.132812 1557942735.9175
MEM 29.457031 1557942736.0358
MEM 31.066406 1557942736.1557
MEM 31.878906 1557942736.2755
MEM 35.292969 1557942736.3948
MEM 37.941406 1557942736.5138
MEM 38.230469 1557942736.6325
MEM 38.230469 1557942736.7504
MEM 38.230469 1557942736.8706
MEM 38.230469 1557942736.9903
MEM 38.437500 1557942737.1098
MEM 38.667969 1557942737.2287
MEM 39.156250 1557942737.3468
MEM 39.519531 1557942737.4655
MEM 40.574219 1557942737.5857
MEM 41.562500 1557942737.7048
MEM 42.093750 1557942737.8240
MEM 42.132812 1557942737.9428
MEM 42.382812 1557942738.0612
MEM 44.156250 1557942738.1805
MEM 45.679688 1557942738.3004
MEM 48.023438 1557942738.4197
MEM 48.894531 1557942738.5388
MEM 50.003906 1557942738.6568
MEM 50.914062 1557942738.7764
MEM 51.136719 1557942738.8966
MEM 51.328125 1557942739.0172
MEM 53.269531 1557942739.1374
MEM 55.035156 1557942739.2567
MEM 58.027344 1557942739.3758
MEM 60.332031 1557942739.4945
MEM 64.027344 1557942739.6130
MEM 67.496094 1557942739.7327
MEM 68.710938 1557942739.8526
MEM 70.117188 1557942739.9717
MEM 70.710938 1557942740.0907
MEM 70.710938 1557942740.2089
MEM 70.710938 1557942740.3280
MEM 72.007812 1557942740.4481
MEM 73.261719 1557942740.5686
MEM 73.996094 1557942740.6888
MEM 74.855469 1557942740.8083
MEM 74.855469 1557942740.9270
MEM 75.113281 1557942741.0454
MEM 173.863281 1557942741.1640
MEM 83.804688 1557942741.2833
MEM 455.992188 1557942741.4027
MEM 564.050781 1557942741.5212
MEM 438.039062 1557942741.6395
MEM 481.562500 1557942741.7579
MEM 525.675781 1557942741.8780
MEM 528.441406 1557942741.9977
MEM 160.480469 1557942742.1170
MEM 363.113281 1557942742.2363
MEM 492.664062 1557942742.3547
MEM 608.718750 1557942742.4726
MEM 464.695312 1557942742.5926
MEM 518.957031 1557942742.7117
MEM 579.058594 1557942742.8308
MEM 532.269531 1557942742.9492
MEM 219.160156 1557942743.0677
MEM 169.308594 1557942743.1872
MEM 525.281250 1557942743.3073
MEM 601.339844 1557942743.4260
MEM 519.511719 1557942743.5452
MEM 565.667969 1557942743.6630
MEM 616.394531 1557942743.7825
MEM 565.464844 1557942743.9024
MEM 287.308594 1557942744.0216
MEM 243.433594 1557942744.1403
MEM 575.386719 1557942744.2587
MEM 605.207031 1557942744.3771
MEM 567.632812 1557942744.4971
MEM 613.652344 1557942744.6171
MEM 500.367188 1557942744.7365
MEM 535.246094 1557942744.8553
MEM 349.308594 1557942744.9732
MEM 301.433594 1557942745.0922
MEM 367.492188 1557942745.2119
MEM 605.339844 1557942745.3323
MEM 619.597656 1557942745.4513
MEM 665.816406 1557942745.5700
MEM 532.957031 1557942745.6879
MEM 569.500000 1557942745.8070
MEM 167.093750 1557942745.9266
MEM 367.003906 1557942746.0461
MEM 441.492188 1557942746.1655
MEM 605.339844 1557942746.2842
MEM 667.816406 1557942746.4023
MEM 709.816406 1557942746.5215
MEM 532.957031 1557942746.6416
MEM 468.179688 1557942746.7615
MEM 239.160156 1557942746.8805
MEM 413.246094 1557942746.9994
MEM 509.519531 1557942747.1171
MEM 609.339844 1557942747.2366
MEM 713.816406 1557942747.3565
MEM 618.414062 1557942747.4771
MEM 556.281250 1557942747.5969
MEM 486.414062 1557942747.7153
MEM 303.308594 1557942747.8342
MEM 453.246094 1557942747.9522
MEM 567.519531 1557942748.0718
MEM 411.238281 1557942748.1917
MEM 609.386719 1557942748.3112
MEM 526.824219 1557942748.4235
MEM 573.535156 1557942748.5432
MEM 137.093750 1557942748.6618
MEM 341.308594 1557942748.7805
MEM 481.246094 1557942748.8986
MEM 607.792969 1557942749.0183
MEM 453.238281 1557942749.1386
MEM 511.566406 1557942749.2577
MEM 570.824219 1557942749.3768
MEM 539.210938 1557942749.4952
MEM 203.093750 1557942749.6135
MEM 155.308594 1557942749.7331
MEM 521.281250 1557942749.8536
MEM 609.339844 1557942749.9728
MEM 513.511719 1557942750.0918
MEM 561.566406 1557942750.2103
MEM 624.394531 1557942750.3289
MEM 570.269531 1557942750.4486
MEM 267.160156 1557942750.5684
MEM 227.308594 1557942750.6873
MEM 565.281250 1557942750.8063
MEM 615.339844 1557942750.9244
MEM 555.667969 1557942751.0430
MEM 601.667969 1557942751.1630
MEM 508.570312 1557942751.2825
MEM 545.246094 1557942751.4012
MEM 333.308594 1557942751.5198
MEM 285.433594 1557942751.6376
MEM 603.386719 1557942751.7575
MEM 619.339844 1557942751.8782
MEM 611.667969 1557942751.9988
MEM 659.652344 1557942752.1183
MEM 531.695312 1557942752.2375
MEM 570.269531 1557942752.3565
MEM 157.093750 1557942752.4741
MEM 355.433594 1557942752.5935
MEM 425.492188 1557942752.7132
MEM 619.339844 1557942752.8324
MEM 661.816406 1557942752.9513
MEM 707.816406 1557942753.0697
MEM 546.957031 1557942753.1881
MEM 549.210938 1557942753.3082
MEM 217.093750 1557942753.4281
MEM 405.246094 1557942753.5476
MEM 489.519531 1557942753.6663
MEM 619.312500 1557942753.7843
MEM 703.753906 1557942753.9029
MEM 620.414062 1557942754.0225
MEM 546.957031 1557942754.1418
MEM 488.433594 1557942754.2608
MEM 277.160156 1557942754.3793
MEM 441.246094 1557942754.4974
MEM 539.519531 1557942754.6168
MEM 383.238281 1557942754.7366
MEM 619.386719 1557942754.8552
MEM 632.414062 1557942754.9738
MEM 578.304688 1557942755.0916
MEM 457.246094 1557942755.2112
MEM 325.308594 1557942755.3311
MEM 473.246094 1557942755.4504
MEM 599.519531 1557942755.5692
MEM 439.238281 1557942755.6875
MEM 619.386719 1557942755.8060
MEM 544.824219 1557942755.9262
MEM 549.246094 1557942756.0457
MEM 187.093750 1557942756.1646
MEM 143.093750 1557942756.2833
MEM 517.281250 1557942756.4011
MEM 625.339844 1557942756.5206
MEM 501.304688 1557942756.6405
MEM 549.566406 1557942756.7596
MEM 614.925781 1557942756.8785
MEM 564.269531 1557942756.9964
MEM 245.160156 1557942757.1159
MEM 203.308594 1557942757.2355
MEM 557.281250 1557942757.3551
MEM 629.339844 1557942757.4749
MEM 551.511719 1557942757.5934
MEM 597.667969 1557942757.7115
MEM 644.394531 1557942757.8311
MEM 593.500000 1557942757.9508
MEM 321.308594 1557942758.0701
MEM 275.433594 1557942758.1889
MEM 607.386719 1557942758.3074
MEM 629.382812 1557942758.4264
MEM 599.667969 1557942758.5465
MEM 647.648438 1557942758.6662
MEM 524.886719 1557942758.7853
MEM 559.210938 1557942758.9043
MEM 263.167969 1557942759.0224
MEM 339.429688 1557942759.1415
MEM 405.488281 1557942759.2611
MEM 629.335938 1557942759.3806
MEM 649.816406 1557942759.4991
MEM 695.816406 1557942759.6171
MEM 556.957031 1557942759.7364
MEM 593.464844 1557942759.8560
MEM 201.093750 1557942759.9753
MEM 397.246094 1557942760.0939
MEM 471.492188 1557942760.2121
MEM 629.339844 1557942760.3307
MEM 691.816406 1557942760.4506
MEM 741.816406 1557942760.5703
MEM 556.957031 1557942760.6894
MEM 494.433594 1557942760.8079
MEM 267.160156 1557942760.9259
MEM 437.246094 1557942761.0454
MEM 535.519531 1557942761.1656
MEM 491.246094 1557942761.2849
MEM 747.816406 1557942761.4039
MEM 640.414062 1557942761.5219
MEM 580.304688 1557942761.6406
MEM 385.238281 1557942761.7604
MEM 335.308594 1557942761.8803
MEM 485.246094 1557942761.9990
MEM 607.519531 1557942762.1182
MEM 449.238281 1557942762.2357
MEM 629.386719 1557942762.3555
MEM 558.824219 1557942762.4750
MEM 559.246094 1557942762.5942
MEM 197.093750 1557942762.7129
MEM 151.093750 1557942762.8310
MEM 523.281250 1557942762.9500
MEM 629.339844 1557942763.0701
MEM 509.511719 1557942763.1898
MEM 557.566406 1557942763.3091
MEM 624.925781 1557942763.4280
MEM 572.269531 1557942763.5466
MEM 257.160156 1557942763.6652
MEM 211.308594 1557942763.7852
MEM 567.281250 1557942763.9050
MEM 635.339844 1557942764.0239
MEM 561.511719 1557942764.1427
MEM 607.667969 1557942764.2601
MEM 650.394531 1557942764.3797
MEM 599.464844 1557942764.4998
MEM 333.308594 1557942764.6193
MEM 289.433594 1557942764.7378
MEM 615.386719 1557942764.8562
MEM 639.339844 1557942764.9748
MEM 611.667969 1557942765.0947
MEM 659.652344 1557942765.2142
MEM 535.402344 1557942765.3334
MEM 574.269531 1557942765.4521
MEM 151.093750 1557942765.5699
MEM 351.433594 1557942765.6891
MEM 417.492188 1557942765.8096
MEM 639.339844 1557942765.9294
MEM 665.816406 1557942766.0482
MEM 709.816406 1557942766.1668
MEM 566.957031 1557942766.2851
MEM 603.500000 1557942766.4044
MEM 215.093750 1557942766.5241
MEM 411.246094 1557942766.6427
MEM 487.492188 1557942766.7615
MEM 639.339844 1557942766.8794
MEM 707.816406 1557942766.9991
MEM 755.816406 1557942767.1190
MEM 566.957031 1557942767.2385
MEM 506.433594 1557942767.3572
MEM 283.160156 1557942767.4753
MEM 451.246094 1557942767.5940
MEM 545.519531 1557942767.7139
MEM 639.339844 1557942767.8335
MEM 757.816406 1557942767.9522
MEM 650.414062 1557942768.0710
MEM 590.304688 1557942768.1892
MEM 516.433594 1557942768.3086
MEM 337.308594 1557942768.4287
MEM 489.246094 1557942768.5479
MEM 609.519531 1557942768.6670
MEM 449.238281 1557942768.7852
MEM 639.386719 1557942768.9039
MEM 556.800781 1557942769.0236
MEM 569.210938 1557942769.1431
MEM 197.160156 1557942769.2619
MEM 151.093750 1557942769.3806
MEM 529.281250 1557942769.4987
MEM 639.339844 1557942769.6180
MEM 511.304688 1557942769.7382
MEM 561.566406 1557942769.8580
MEM 628.925781 1557942769.9769
MEM 580.234375 1557942770.0960
MEM 267.160156 1557942770.2139
MEM 217.308594 1557942770.3332
MEM 571.281250 1557942770.4528
MEM 639.339844 1557942770.5723
MEM 565.511719 1557942770.6907
MEM 609.667969 1557942770.8087
MEM 654.394531 1557942770.9273
MEM 603.500000 1557942771.0467
MEM 319.308594 1557942771.1662
MEM 275.433594 1557942771.2847
MEM 607.386719 1557942771.4028
MEM 639.339844 1557942771.5214
MEM 599.667969 1557942771.6414
MEM 647.652344 1557942771.7616
MEM 534.371094 1557942771.8807
MEM 569.246094 1557942771.9995
MEM 385.308594 1557942772.1175
MEM 337.433594 1557942772.2365
MEM 405.492188 1557942772.3567
MEM 645.339844 1557942772.4763
MEM 657.597656 1557942772.5955
