CMDLINE python do_luvoir_AWS_BW10_small.py
MEM 703.816406 1557942772.7142
MEM 570.449219 1557942772.8322
MEM 608.949219 1557942772.9515
MEM 203.093750 1557942773.0719
MEM 407.003906 1557942773.1918
MEM 479.492188 1557942773.3109
MEM 649.339844 1557942773.4305
MEM 709.816406 1557942773.5488
MEM 753.816406 1557942773.6670
MEM 576.957031 1557942773.7870
MEM 530.980469 1557942773.9062
MEM 277.160156 1557942774.0250
MEM 451.246094 1557942774.1433
MEM 543.519531 1557942774.2610
MEM 649.339844 1557942774.3810
MEM 753.816406 1557942774.4999
MEM 656.414062 1557942774.6186
MEM 588.304688 1557942774.7366
MEM 524.433594 1557942774.8553
MEM 329.308594 1557942774.9750
MEM 487.246094 1557942775.0947
MEM 603.519531 1557942775.2134
MEM 443.238281 1557942775.3311
MEM 649.386719 1557942775.4496
MEM 544.824219 1557942775.5692
MEM 613.535156 1557942775.6887
MEM 191.093750 1557942775.8080
MEM 397.308594 1557942775.9270
MEM 531.281250 1557942776.0449
MEM 649.339844 1557942776.1639
MEM 503.304688 1557942776.2837
MEM 557.566406 1557942776.4029
MEM 616.824219 1557942776.5216
MEM 579.210938 1557942776.6401
MEM 253.093750 1557942776.7584
MEM 205.308594 1557942776.8784
MEM 569.281250 1557942776.9978
MEM 649.339844 1557942777.1166
MEM 557.511719 1557942777.2352
MEM 601.667969 1557942777.3533
MEM 664.617188 1557942777.4727
MEM 610.449219 1557942777.5925
MEM 307.175781 1557942777.7118
MEM 265.308594 1557942777.8308
MEM 603.277344 1557942777.9491
MEM 649.332031 1557942778.0674
MEM 593.667969 1557942778.1871
MEM 641.667969 1557942778.3068
MEM 542.570312 1557942778.4259
MEM 579.210938 1557942778.5448
MEM 367.308594 1557942778.6626
MEM 319.433594 1557942778.7820
MEM 641.386719 1557942778.9021
MEM 649.339844 1557942779.0221
MEM 645.667969 1557942779.1411
MEM 691.652344 1557942779.2596
MEM 561.179688 1557942779.3778
MEM 600.269531 1557942779.4967
MEM 187.093750 1557942779.6168
MEM 393.433594 1557942779.7364
MEM 465.492188 1557942779.8554
MEM 649.339844 1557942779.9744
MEM 697.816406 1557942780.0921
MEM 739.816406 1557942780.2116
MEM 576.957031 1557942780.3314
MEM 579.210938 1557942780.4510
MEM 261.160156 1557942780.5693
MEM 441.246094 1557942780.6873
MEM 523.519531 1557942780.8060
MEM 649.339844 1557942780.9259
MEM 741.816406 1557942781.0450
MEM 654.414062 1557942781.1639
MEM 577.730469 1557942781.2821
MEM 520.433594 1557942781.4007
MEM 315.308594 1557942781.5201
MEM 477.246094 1557942781.6393
MEM 587.519531 1557942781.7584
MEM 429.238281 1557942781.8766
MEM 649.386719 1557942781.9950
MEM 542.570312 1557942782.1149
MEM 621.988281 1557942782.2344
MEM 422.644531 1557942782.3534
MEM 374.714844 1557942782.4722
MEM 526.652344 1557942782.5917
MEM 642.925781 1557942782.7100
MEM 474.644531 1557942782.8287
MEM 672.792969 1557942782.9482
MEM 590.972656 1557942783.0670
MEM 615.886719 1557942783.1852
MEM 213.093750 1557942783.3041
MEM 293.167969 1557942783.4242
MEM 549.281250 1557942783.5438
MEM 659.339844 1557942783.6628
MEM 531.304688 1557942783.7817
MEM 575.566406 1557942783.8997
MEM 632.925781 1557942784.0197
MEM 589.281250 1557942784.1398
MEM 277.160156 1557942784.2599
MEM 235.308594 1557942784.3791
MEM 589.281250 1557942784.4984
MEM 659.339844 1557942784.6168
MEM 577.511719 1557942784.7350
MEM 623.667969 1557942784.8552
MEM 674.394531 1557942784.9746
MEM 623.464844 1557942785.0939
MEM 335.312500 1557942785.2128
MEM 291.632812 1557942785.3309
MEM 623.390625 1557942785.4504
MEM 659.343750 1557942785.5705
MEM 621.671875 1557942785.6904
MEM 669.656250 1557942785.8095
MEM 552.574219 1557942785.9284
MEM 589.214844 1557942786.0467
MEM 387.312500 1557942786.1650
MEM 337.437500 1557942786.2853
MEM 537.316406 1557942786.4050
MEM 659.343750 1557942786.5244
MEM 661.601562 1557942786.6432
MEM 707.656250 1557942786.7612
MEM 572.214844 1557942786.8805
MEM 614.273438 1557942787.0004
MEM 205.097656 1557942787.1201
MEM 411.437500 1557942787.2393
MEM 475.496094 1557942787.3581
MEM 659.343750 1557942787.4761
MEM 699.820312 1557942787.5958
MEM 747.820312 1557942787.7157
MEM 586.960938 1557942787.8362
MEM 589.214844 1557942787.9561
MEM 271.164062 1557942788.0750
MEM 451.250000 1557942788.1944
MEM 541.523438 1557942788.3129
MEM 659.343750 1557942788.4318
MEM 749.820312 1557942788.5514
MEM 662.417969 1557942788.6728
MEM 587.218750 1557942788.7935
MEM 530.437500 1557942788.9111
MEM 311.164062 1557942789.0297
MEM 473.250000 1557942789.1475
MEM 563.523438 1557942789.2685
MEM 659.343750 1557942789.3878
MEM 769.820312 1557942789.5064
MEM 668.417969 1557942789.6256
MEM 592.308594 1557942789.7440
MEM 530.437500 1557942789.8577
MEM 299.164062 1557942789.9700
MEM 451.250000 1557942790.0888
MEM 535.523438 1557942790.2069
MEM 659.343750 1557942790.3261
MEM 747.820312 1557942790.4456
MEM 662.417969 1557942790.5657
MEM 588.765625 1557942790.6843
MEM 530.437500 1557942790.8033
MEM 321.164062 1557942790.9212
MEM 479.250000 1557942791.0407
MEM 581.523438 1557942791.1606
MEM 425.242188 1557942791.2796
MEM 659.390625 1557942791.3981
MEM 672.417969 1557942791.5162
MEM 616.308594 1557942791.6352
MEM 415.242188 1557942791.7552
MEM 369.312500 1557942791.8744
MEM 515.250000 1557942791.9932
MEM 637.523438 1557942792.1114
MEM 475.242188 1557942792.2301
MEM 659.390625 1557942792.3499
MEM 582.828125 1557942792.4696
MEM 589.214844 1557942792.5884
MEM 215.097656 1557942792.7071
MEM 231.105469 1557942792.8250
MEM 545.285156 1557942792.9447
MEM 659.343750 1557942793.0647
MEM 533.308594 1557942793.1849
MEM 583.570312 1557942793.3036
MEM 646.929688 1557942793.4227
MEM 596.308594 1557942793.5407
MEM 277.164062 1557942793.6595
MEM 231.312500 1557942793.7797
MEM 591.285156 1557942793.8993
MEM 665.343750 1557942794.0183
MEM 581.515625 1557942794.1369
MEM 627.671875 1557942794.2495
MEM 679.882812 1557942794.3674
MEM 612.429688 1557942794.4867
MEM 299.164062 1557942794.6061
MEM 251.312500 1557942794.7264
MEM 605.281250 1557942794.8454
MEM 669.296875 1557942794.9641
MEM 595.589844 1557942795.0819
MEM 637.671875 1557942795.2006
MEM 684.632812 1557942795.3204
MEM 633.539062 1557942795.4401
MEM 355.312500 1557942795.5591
MEM 311.437500 1557942795.6776
MEM 639.390625 1557942795.7958
MEM 669.343750 1557942795.9153
MEM 635.671875 1557942796.0356
MEM 681.656250 1557942796.1555
MEM 564.375000 1557942796.2741
MEM 599.214844 1557942796.3932
MEM 415.312500 1557942796.5108
MEM 365.437500 1557942796.6303
MEM 431.496094 1557942796.7502
MEM 669.343750 1557942796.8699
MEM 681.601562 1557942796.9890
MEM 727.820312 1557942797.1077
MEM 594.453125 1557942797.2257
MEM 628.453125 1557942797.3449
MEM 215.097656 1557942797.4653
MEM 423.718750 1557942797.5850
MEM 493.496094 1557942797.7041
MEM 669.343750 1557942797.8231
MEM 723.820312 1557942797.9415
MEM 767.820312 1557942798.0613
MEM 593.160156 1557942798.1807
MEM 536.437500 1557942798.3010
MEM 315.164062 1557942798.4205
MEM 485.250000 1557942798.5397
MEM 587.523438 1557942798.6585
MEM 427.242188 1557942798.7764
MEM 787.820312 1557942798.8958
MEM 680.417969 1557942799.0161
MEM 623.750000 1557942799.1352
MEM 189.097656 1557942799.2543
MEM 395.312500 1557942799.3729
MEM 535.250000 1557942799.4914
MEM 659.523438 1557942799.6108
MEM 503.242188 1557942799.7306
MEM 561.570312 1557942799.8493
MEM 616.828125 1557942799.9679
MEM 584.332031 1557942800.0858
MEM 271.097656 1557942800.2051
MEM 225.312500 1557942800.3252
MEM 589.285156 1557942800.4444
MEM 669.343750 1557942800.5633
MEM 577.515625 1557942800.6814
MEM 623.570312 1557942800.8005
MEM 684.398438 1557942800.9206
MEM 623.667969 1557942801.0406
MEM 357.312500 1557942801.1597
MEM 311.437500 1557942801.2786
MEM 641.390625 1557942801.3968
MEM 669.343750 1557942801.5156
MEM 635.671875 1557942801.6357
MEM 681.656250 1557942801.7556
MEM 562.574219 1557942801.8751
MEM 598.367188 1557942801.9939
MEM 191.097656 1557942802.1122
MEM 393.437500 1557942802.2307
MEM 455.496094 1557942802.3502
MEM 669.343750 1557942802.4701
MEM 699.820312 1557942802.5887
MEM 743.820312 1557942802.7074
MEM 593.160156 1557942802.8245
MEM 623.667969 1557942802.9446
MEM 273.097656 1557942803.0642
MEM 457.250000 1557942803.1827
MEM 537.496094 1557942803.3015
MEM 669.343750 1557942803.4195
MEM 751.820312 1557942803.5392
MEM 670.417969 1557942803.6590
MEM 596.960938 1557942803.7778
MEM 540.437500 1557942803.8967
MEM 329.164062 1557942804.0148
MEM 491.250000 1557942804.1336
MEM 595.523438 1557942804.2536
MEM 441.242188 1557942804.3732
MEM 669.390625 1557942804.4923
MEM 562.574219 1557942804.6115
MEM 633.539062 1557942804.7298
MEM 193.097656 1557942804.8483
MEM 397.312500 1557942804.9681
MEM 537.250000 1557942805.0876
MEM 668.570312 1557942805.2066
MEM 511.242188 1557942805.3251
MEM 565.570312 1557942805.4432
MEM 616.828125 1557942805.5626
MEM 580.558594 1557942805.6824
MEM 245.097656 1557942805.8012
MEM 199.097656 1557942805.9204
MEM 571.285156 1557942806.0382
MEM 669.343750 1557942806.1576
MEM 555.515625 1557942806.2772
MEM 603.570312 1557942806.3961
MEM 670.929688 1557942806.5148
MEM 620.664062 1557942806.6330
MEM 349.312500 1557942806.7519
MEM 307.312500 1557942806.8717
MEM 639.390625 1557942806.9916
MEM 675.343750 1557942807.1101
MEM 637.671875 1557942807.2290
MEM 681.656250 1557942807.3466
MEM 568.574219 1557942807.4666
MEM 617.171875 1557942807.5864
MEM 261.097656 1557942807.7061
MEM 455.250000 1557942807.8246
MEM 531.496094 1557942807.9431
MEM 679.343750 1557942808.0615
MEM 749.820312 1557942808.1817
MEM 797.820312 1557942808.3017
MEM 601.937500 1557942808.4208
MEM 556.437500 1557942808.5396
MEM 373.312500 1557942808.6577
MEM 521.250000 1557942808.7764
MEM 635.523438 1557942808.8963
MEM 479.242188 1557942809.0161
MEM 679.390625 1557942809.1353
MEM 594.828125 1557942809.2545
MEM 639.996094 1557942809.3730
MEM 211.144531 1557942809.4912
MEM 413.312500 1557942809.6107
MEM 551.250000 1557942809.7297
MEM 679.335938 1557942809.8483
MEM 523.308594 1557942809.9662
MEM 573.570312 1557942810.0855
MEM 628.828125 1557942810.2052
MEM 609.250000 1557942810.3245
MEM 273.097656 1557942810.4431
MEM 225.312500 1557942810.5615
MEM 585.285156 1557942810.6798
MEM 679.343750 1557942810.7998
MEM 573.515625 1557942810.9194
MEM 619.570312 1557942811.0386
MEM 690.929688 1557942811.1575
MEM 634.453125 1557942811.2756
MEM 325.164062 1557942811.3946
MEM 281.312500 1557942811.5143
MEM 625.285156 1557942811.6337
MEM 679.343750 1557942811.7522
MEM 619.671875 1557942811.8705
MEM 663.671875 1557942811.9888
MEM 694.398438 1557942812.1088
MEM 588.078125 1557942812.2283
MEM 417.312500 1557942812.3473
MEM 371.437500 1557942812.4660
MEM 439.496094 1557942812.5836
MEM 679.343750 1557942812.7033
MEM 683.601562 1557942812.8233
MEM 731.820312 1557942812.9424
MEM 602.902344 1557942813.0616
MEM 633.667969 1557942813.1797
MEM 253.097656 1557942813.2987
MEM 447.250000 1557942813.4184
MEM 525.496094 1557942813.5380
MEM 679.343750 1557942813.6569
MEM 751.820312 1557942813.7758
MEM 797.820312 1557942813.8933
MEM 603.160156 1557942814.0123
MEM 548.437500 1557942814.1316
MEM 335.164062 1557942814.2501
MEM 499.250000 1557942814.3680
MEM 595.523438 1557942814.4863
MEM 435.242188 1557942814.6058
MEM 799.820312 1557942814.7249
MEM 690.417969 1557942814.8437
MEM 632.226562 1557942814.9624
MEM 193.097656 1557942815.0803
MEM 393.312500 1557942815.1997
MEM 539.250000 1557942815.3192
MEM 665.523438 1557942815.4377
MEM 505.242188 1557942815.5558
MEM 557.316406 1557942815.6742
MEM 608.828125 1557942815.7936
MEM 588.078125 1557942815.9125
MEM 257.097656 1557942816.0313
MEM 213.312500 1557942816.1491
MEM 577.285156 1557942816.2678
MEM 679.343750 1557942816.3876
MEM 563.515625 1557942816.5072
MEM 611.570312 1557942816.6257
MEM 674.929688 1557942816.7442
MEM 624.402344 1557942816.8626
MEM 329.164062 1557942816.9826
MEM 289.312500 1557942817.1026
MEM 629.285156 1557942817.2217
MEM 679.343750 1557942817.3405
MEM 623.671875 1557942817.4587
MEM 665.671875 1557942817.5768
MEM 694.398438 1557942817.6967
MEM 609.214844 1557942817.8163
MEM 389.242188 1557942817.9349
MEM 343.437500 1557942818.0530
MEM 663.390625 1557942818.1716
MEM 679.343750 1557942818.2911
MEM 663.671875 1557942818.4112
MEM 709.656250 1557942818.5306
MEM 586.437500 1557942818.6489
MEM 622.273438 1557942818.7668
MEM 199.101562 1557942818.8857
MEM 403.441406 1557942819.0060
MEM 475.500000 1557942819.1250
MEM 679.347656 1557942819.2440
MEM 711.824219 1557942819.3624
MEM 755.824219 1557942819.4807
MEM 605.609375 1557942819.6002
MEM 639.953125 1557942819.7201
MEM 247.101562 1557942819.8388
MEM 443.253906 1557942819.9573
MEM 511.500000 1557942820.0748
MEM 679.347656 1557942820.1949
MEM 737.824219 1557942820.3150
MEM 785.824219 1557942820.4346
MEM 601.941406 1557942820.5530
MEM 548.441406 1557942820.6708
MEM 335.167969 1557942820.7896
MEM 501.253906 1557942820.9098
MEM 607.527344 1557942821.0296
MEM 453.246094 1557942821.1482
MEM 685.394531 1557942821.2671
MEM 698.421875 1557942821.3848
MEM 627.261719 1557942821.5043
MEM 279.101562 1557942821.6241
MEM 235.316406 1557942821.7438
MEM 601.289062 1557942821.8628
MEM 689.347656 1557942821.9815
MEM 589.519531 1557942822.0940
MEM 619.574219 1557942822.2120
MEM 680.933594 1557942822.3306
MEM 630.437500 1557942822.4499
MEM 349.167969 1557942822.5690
MEM 307.316406 1557942822.6881
MEM 645.394531 1557942822.8065
MEM 689.347656 1557942822.9248
MEM 635.675781 1557942823.0447
MEM 683.675781 1557942823.1637
MEM 582.578125 1557942823.2823
MEM 649.953125 1557942823.4002
MEM 383.316406 1557942823.5193
MEM 337.441406 1557942823.6393
MEM 667.394531 1557942823.7598
MEM 689.347656 1557942823.8795
MEM 671.675781 1557942823.9985
MEM 715.660156 1557942824.1099
MEM 582.578125 1557942824.2292
MEM 619.253906 1557942824.3473
MEM 421.316406 1557942824.4660
MEM 373.441406 1557942824.5858
MEM 445.246094 1557942824.7053
MEM 689.347656 1557942824.8240
MEM 693.605469 1557942824.9422
MEM 739.824219 1557942825.0611
MEM 602.218750 1557942825.1810
MEM 646.457031 1557942825.3009
MEM 237.101562 1557942825.4201
MEM 441.441406 1557942825.5388
MEM 503.500000 1557942825.6570
MEM 689.347656 1557942825.7757
MEM 731.824219 1557942825.8958
MEM 781.824219 1557942826.0156
MEM 606.660156 1557942826.1349
MEM 201.101562 1557942826.2536
MEM 403.316406 1557942826.3720
MEM 547.253906 1557942826.4908
MEM 669.527344 1557942826.6107
MEM 513.246094 1557942826.7306
MEM 575.574219 1557942826.8492
MEM 626.832031 1557942826.9681
MEM 610.398438 1557942827.0860
MEM 363.316406 1557942827.2055
MEM 321.636719 1557942827.3253
MEM 655.394531 1557942827.4450
MEM 689.347656 1557942827.5640
MEM 653.675781 1557942827.6825
MEM 695.660156 1557942827.8008
MEM 582.578125 1557942827.9202
MEM 627.453125 1557942828.0405
MEM 289.101562 1557942828.1602
MEM 475.253906 1557942828.2790
MEM 561.500000 1557942828.3972
MEM 689.347656 1557942828.5157
MEM 773.824219 1557942828.6352
MEM 692.421875 1557942828.7551
MEM 615.742188 1557942828.8741
MEM 257.101562 1557942828.9930
MEM 211.101562 1557942829.1106
MEM 581.289062 1557942829.2302
MEM 689.347656 1557942829.3501
MEM 569.519531 1557942829.4698
MEM 615.574219 1557942829.5884
MEM 678.933594 1557942829.7065
MEM 627.472656 1557942829.8245
MEM 417.316406 1557942829.9439
MEM 371.441406 1557942830.0629
MEM 687.394531 1557942830.1821
MEM 689.347656 1557942830.3003
MEM 687.675781 1557942830.4184
MEM 729.660156 1557942830.5385
MEM 602.417969 1557942830.6580
MEM 643.949219 1557942830.7767
MEM 255.101562 1557942830.8950
MEM 449.011719 1557942831.0126
MEM 513.500000 1557942831.1325
MEM 689.347656 1557942831.2520
MEM 745.824219 1557942831.3710
MEM 789.824219 1557942831.4896
