CMDLINE python do_luvoir_telserv3_BW18_medium.py
MEM 3.375000 1558044402.7330
MEM 6.242188 1558044402.8545
MEM 8.757812 1558044402.9742
MEM 10.304688 1558044403.0945
MEM 14.687500 1558044403.2152
MEM 14.941406 1558044403.3358
MEM 16.093750 1558044403.4563
MEM 16.609375 1558044403.5758
MEM 17.121094 1558044403.6949
MEM 18.007812 1558044403.8137
MEM 19.085938 1558044403.9326
MEM 19.898438 1558044404.0526
MEM 20.621094 1558044404.1730
MEM 22.265625 1558044404.2938
MEM 22.652344 1558044404.4188
MEM 23.417969 1558044404.5371
MEM 24.070312 1558044404.6564
MEM 26.488281 1558044404.7766
MEM 28.335938 1558044404.8965
MEM 29.441406 1558044405.0158
MEM 30.835938 1558044405.1350
MEM 32.664062 1558044405.2537
MEM 37.437500 1558044405.3721
MEM 37.945312 1558044405.4921
MEM 37.945312 1558044405.6117
MEM 37.945312 1558044405.7309
MEM 38.234375 1558044405.8501
MEM 38.234375 1558044405.9691
MEM 38.234375 1558044406.0874
MEM 38.433594 1558044406.2072
MEM 38.664062 1558044406.3276
MEM 38.664062 1558044406.4482
MEM 38.906250 1558044406.5682
MEM 39.179688 1558044406.6874
MEM 39.445312 1558044406.8067
MEM 39.851562 1558044406.9255
MEM 40.605469 1558044407.0438
MEM 41.546875 1558044407.1638
MEM 42.097656 1558044407.2839
MEM 44.371094 1558044407.4045
MEM 46.476562 1558044407.5239
MEM 48.539062 1558044407.6427
MEM 48.894531 1558044407.7600
MEM 49.996094 1558044407.8793
MEM 51.140625 1558044407.9979
MEM 53.066406 1558044408.1163
MEM 55.484375 1558044408.2349
MEM 57.628906 1558044408.3532
MEM 58.000000 1558044408.4733
MEM 60.347656 1558044408.5938
MEM 62.773438 1558044408.7136
MEM 64.816406 1558044408.8337
MEM 67.507812 1558044408.9531
MEM 68.195312 1558044409.0723
MEM 69.082031 1558044409.1905
MEM 70.132812 1558044409.3102
MEM 70.363281 1558044409.4303
MEM 70.617188 1558044409.5493
MEM 70.875000 1558044409.6683
MEM 71.984375 1558044409.7875
MEM 73.000000 1558044409.9062
MEM 73.542969 1558044410.0254
MEM 74.597656 1558044410.1458
MEM 74.851562 1558044410.2659
MEM 75.109375 1558044410.3870
MEM 162.632812 1558044410.5074
MEM 459.132812 1558044410.6273
MEM 197.910156 1558044410.7465
MEM 563.906250 1558044410.8653
MEM 552.390625 1558044410.9840
MEM 213.046875 1558044411.1027
