CMDLINE python do_luvoir_telserv2_BW10_medium.py
MEM 172.816406 1557948116.4554
MEM 576.664062 1557948116.5703
MEM 484.449219 1557948116.6861
MEM 676.363281 1557948116.8013
MEM 625.320312 1557948116.9165
MEM 295.132812 1557948117.0315
MEM 448.664062 1557948117.1465
MEM 661.101562 1557948117.2620
MEM 562.363281 1557948117.3770
MEM 607.101562 1557948117.4928
MEM 174.304688 1557948117.6077
MEM 466.523438 1557948117.7247
MEM 661.101562 1557948117.8404
MEM 763.253906 1557948117.9578
MEM 590.042969 1557948118.0734
MEM 312.453125 1557948118.1884
MEM 310.601562 1557948118.3032
MEM 661.101562 1557948118.4188
MEM 661.105469 1557948118.5357
MEM 586.667969 1557948118.6507
MEM 192.304688 1557948118.7656
MEM 190.453125 1557948118.8806
MEM 598.664062 1557948118.9955
MEM 504.449219 1557948119.1115
MEM 676.363281 1557948119.2266
MEM 590.929688 1557948119.3417
MEM 310.453125 1557948119.4566
MEM 466.664062 1557948119.5716
MEM 661.101562 1557948119.6868
MEM 578.363281 1557948119.8018
MEM 625.375000 1557948119.9176
MEM 188.304688 1557948120.0326
MEM 508.523438 1557948120.1486
MEM 661.101562 1557948120.2642
MEM 779.179688 1557948120.3798
MEM 590.804688 1557948120.4953
MEM 314.453125 1557948120.6104
MEM 312.601562 1557948120.7253
MEM 661.101562 1557948120.8410
MEM 661.105469 1557948120.9580
MEM 586.667969 1557948121.0729
MEM 190.304688 1557948121.1878
MEM 188.453125 1557948121.3027
MEM 598.664062 1557948121.4179
MEM 504.449219 1557948121.5338
MEM 676.363281 1557948121.6489
MEM 609.765625 1557948121.7640
MEM 306.453125 1557948121.8790
MEM 462.664062 1557948121.9940
MEM 667.101562 1557948122.1096
MEM 576.363281 1557948122.2245
MEM 609.933594 1557948122.3403
MEM 424.453125 1557948122.4552
MEM 422.601562 1557948122.5724
MEM 671.101562 1557948122.6881
MEM 731.253906 1557948122.8057
MEM 598.855469 1557948122.9214
MEM 310.453125 1557948123.0363
MEM 308.601562 1557948123.1513
MEM 671.101562 1557948123.2668
MEM 671.105469 1557948123.3826
MEM 592.667969 1557948123.4975
MEM 186.304688 1557948123.6124
MEM 184.453125 1557948123.7273
MEM 590.664062 1557948123.8422
MEM 498.449219 1557948123.9583
MEM 686.363281 1557948124.0735
MEM 635.320312 1557948124.1886
MEM 305.160156 1557948124.3035
MEM 458.664062 1557948124.4185
MEM 671.101562 1557948124.5339
MEM 574.363281 1557948124.6488
MEM 625.042969 1557948124.7643
MEM 194.304688 1557948124.8793
MEM 512.523438 1557948124.9955
MEM 671.101562 1557948125.1111
MEM 788.859375 1557948125.2269
MEM 618.667969 1557948125.3424
MEM 334.453125 1557948125.4574
MEM 332.601562 1557948125.5722
MEM 671.101562 1557948125.6879
MEM 671.105469 1557948125.8045
MEM 594.925781 1557948125.9195
MEM 228.304688 1557948126.0345
MEM 226.453125 1557948126.1494
MEM 634.664062 1557948126.2646
MEM 542.449219 1557948126.3822
MEM 564.292969 1557948126.4972
MEM 538.667969 1557948126.6123
MEM 370.453125 1557948126.7272
MEM 524.664062 1557948126.8421
MEM 432.449219 1557948126.9570
MEM 636.363281 1557948127.0720
MEM 579.792969 1557948127.1876
MEM 256.304688 1557948127.3028
MEM 666.523438 1557948127.4176
MEM 671.101562 1557948127.5334
MEM 680.742188 1557948127.6487
MEM 610.753906 1557948127.7640
MEM 394.453125 1557948127.8790
MEM 392.601562 1557948127.9944
MEM 671.101562 1557948128.1100
MEM 637.105469 1557948128.2278
MEM 598.804688 1557948128.3433
MEM 284.304688 1557948128.4583
MEM 282.453125 1557948128.5731
MEM 671.101562 1557948128.6886
MEM 671.253906 1557948128.8066
MEM 584.667969 1557948128.9215
MEM 426.957031 1557948129.0364
MEM 414.453125 1557948129.1513
MEM 570.664062 1557948129.2662
MEM 478.449219 1557948129.3812
MEM 680.363281 1557948129.4963
MEM 596.667969 1557948129.6122
MEM 280.304688 1557948129.7271
MEM 430.664062 1557948129.8421
MEM 671.101562 1557948129.9577
MEM 685.699219 1557948130.0729
MEM 588.667969 1557948130.1885
MEM 187.394531 1557948130.3035
MEM 437.429688 1557948130.4206
MEM 675.101562 1557948130.5361
MEM 749.253906 1557948130.6539
MEM 617.058594 1557948130.7691
MEM 380.453125 1557948130.8841
MEM 378.601562 1557948130.9988
MEM 681.101562 1557948131.1144
MEM 681.105469 1557948131.2322
MEM 603.660156 1557948131.3475
MEM 290.304688 1557948131.4624
MEM 288.453125 1557948131.5773
MEM 681.101562 1557948131.6929
MEM 681.105469 1557948131.8111
MEM 594.667969 1557948131.9259
MEM 558.667969 1557948132.0409
MEM 416.453125 1557948132.1558
MEM 570.664062 1557948132.2707
MEM 478.449219 1557948132.3857
MEM 682.363281 1557948132.5008
MEM 627.265625 1557948132.6166
MEM 294.304688 1557948132.7316
MEM 444.664062 1557948132.8465
MEM 681.101562 1557948132.9620
MEM 604.214844 1557948133.0771
MEM 610.929688 1557948133.1929
MEM 420.453125 1557948133.3079
MEM 418.601562 1557948133.4237
MEM 681.101562 1557948133.5393
MEM 669.105469 1557948133.6569
MEM 604.929688 1557948133.7727
MEM 318.453125 1557948133.8876
MEM 316.601562 1557948134.0026
MEM 681.101562 1557948134.1182
MEM 803.179688 1557948134.2340
MEM 598.667969 1557948134.3490
MEM 210.308594 1557948134.4639
MEM 208.457031 1557948134.5788
MEM 614.667969 1557948134.6938
MEM 522.453125 1557948134.8096
MEM 696.367188 1557948134.9246
MEM 635.628906 1557948135.0395
MEM 340.457031 1557948135.1545
MEM 496.667969 1557948135.2695
MEM 681.105469 1557948135.3847
MEM 610.367188 1557948135.4996
MEM 635.628906 1557948135.6145
MEM 228.308594 1557948135.7294
MEM 556.527344 1557948135.8454
MEM 681.105469 1557948135.9609
MEM 684.746094 1557948136.0765
MEM 635.628906 1557948136.1916
MEM 366.457031 1557948136.3065
MEM 364.605469 1557948136.4211
MEM 681.105469 1557948136.5367
MEM 681.109375 1557948136.6529
MEM 604.929688 1557948136.7681
MEM 252.308594 1557948136.8830
MEM 250.457031 1557948136.9978
MEM 658.667969 1557948137.1132
MEM 607.109375 1557948137.2314
MEM 576.292969 1557948137.3464
MEM 548.671875 1557948137.4614
MEM 380.457031 1557948137.5763
MEM 536.667969 1557948137.6913
MEM 444.453125 1557948137.8064
MEM 650.367188 1557948137.9215
MEM 610.964844 1557948138.0371
MEM 254.308594 1557948138.1519
MEM 648.527344 1557948138.2668
MEM 681.105469 1557948138.3822
MEM 688.746094 1557948138.4977
MEM 641.824219 1557948138.6128
MEM 364.457031 1557948138.7276
MEM 362.605469 1557948138.8423
MEM 681.105469 1557948138.9579
MEM 681.109375 1557948139.0745
MEM 603.664062 1557948139.1895
MEM 268.308594 1557948139.3045
MEM 266.457031 1557948139.4195
MEM 676.667969 1557948139.5349
MEM 653.109375 1557948139.6528
MEM 588.667969 1557948139.7677
MEM 206.308594 1557948139.8827
MEM 204.128906 1557948139.9977
MEM 608.667969 1557948140.1126
MEM 516.453125 1557948140.2287
MEM 706.367188 1557948140.3438
MEM 642.460938 1557948140.4588
MEM 342.457031 1557948140.5737
MEM 494.667969 1557948140.6886
MEM 691.105469 1557948140.8040
MEM 606.367188 1557948140.9189
MEM 650.832031 1557948141.0347
MEM 204.308594 1557948141.1497
MEM 494.527344 1557948141.2667
MEM 691.105469 1557948141.3824
MEM 793.308594 1557948141.4994
MEM 620.839844 1557948141.6150
MEM 336.457031 1557948141.7300
MEM 334.605469 1557948141.8448
MEM 691.105469 1557948141.9603
MEM 691.109375 1557948142.0766
MEM 614.671875 1557948142.1916
MEM 216.308594 1557948142.3064
MEM 212.457031 1557948142.4213
MEM 618.667969 1557948142.5362
MEM 526.453125 1557948142.6523
MEM 706.367188 1557948142.7674
MEM 562.671875 1557948142.8825
MEM 404.457031 1557948142.9973
MEM 560.667969 1557948143.1123
MEM 466.453125 1557948143.2272
MEM 672.367188 1557948143.3423
MEM 629.390625 1557948143.4574
MEM 336.457031 1557948143.5725
MEM 492.667969 1557948143.6873
MEM 691.105469 1557948143.8026
MEM 606.367188 1557948143.9176
MEM 629.390625 1557948144.0329
MEM 278.308594 1557948144.1478
MEM 686.527344 1557948144.2627
MEM 691.105469 1557948144.3784
MEM 700.746094 1557948144.4937
MEM 600.671875 1557948144.6093
MEM 220.308594 1557948144.7242
MEM 536.527344 1557948144.8402
MEM 691.105469 1557948144.9558
MEM 813.183594 1557948145.0714
MEM 629.429688 1557948145.1866
MEM 414.457031 1557948145.3014
MEM 412.605469 1557948145.4169
MEM 691.105469 1557948145.5325
MEM 657.109375 1557948145.6497
MEM 614.949219 1557948145.7655
MEM 316.308594 1557948145.8807
MEM 316.457031 1557948145.9955
MEM 691.105469 1557948146.1110
MEM 795.515625 1557948146.2281
MEM 608.671875 1557948146.3430
MEM 446.960938 1557948146.4578
MEM 438.457031 1557948146.5727
MEM 592.667969 1557948146.6876
MEM 500.453125 1557948146.8025
MEM 704.367188 1557948146.9176
MEM 642.414062 1557948147.0328
MEM 336.457031 1557948147.1477
MEM 490.667969 1557948147.2627
MEM 691.105469 1557948147.3781
MEM 606.367188 1557948147.4930
MEM 633.062500 1557948147.6086
MEM 270.308594 1557948147.7235
MEM 672.527344 1557948147.8383
MEM 691.105469 1557948147.9539
MEM 700.746094 1557948148.0695
MEM 623.691406 1557948148.1848
MEM 260.308594 1557948148.2998
MEM 644.527344 1557948148.4156
MEM 695.105469 1557948148.5312
MEM 702.746094 1557948148.6467
MEM 627.691406 1557948148.7621
MEM 252.308594 1557948148.8770
MEM 606.527344 1557948148.9929
MEM 695.105469 1557948149.1085
MEM 700.746094 1557948149.2243
MEM 637.062500 1557948149.3400
MEM 442.457031 1557948149.4549
MEM 438.605469 1557948149.5714
MEM 695.105469 1557948149.6872
MEM 695.109375 1557948149.8050
MEM 617.644531 1557948149.9206
MEM 360.457031 1557948150.0355
MEM 358.605469 1557948150.1502
MEM 695.105469 1557948150.2660
MEM 695.109375 1557948150.3826
MEM 621.410156 1557948150.4976
MEM 232.308594 1557948150.6125
MEM 230.457031 1557948150.7274
MEM 636.667969 1557948150.8425
MEM 544.453125 1557948150.9584
MEM 710.367188 1557948151.0736
MEM 649.675781 1557948151.1887
MEM 368.457031 1557948151.3036
MEM 522.667969 1557948151.4186
MEM 695.105469 1557948151.5339
MEM 638.367188 1557948151.6488
MEM 602.671875 1557948151.7644
MEM 308.308594 1557948151.8793
MEM 458.667969 1557948151.9942
MEM 695.105469 1557948152.1097
MEM 590.218750 1557948152.2248
MEM 633.390625 1557948152.3401
MEM 244.308594 1557948152.4552
MEM 572.527344 1557948152.5711
MEM 695.105469 1557948152.6868
MEM 698.746094 1557948152.8025
MEM 633.390625 1557948152.9178
MEM 436.457031 1557948153.0327
MEM 434.605469 1557948153.1485
MEM 695.105469 1557948153.2641
MEM 691.109375 1557948153.3817
MEM 612.433594 1557948153.4971
MEM 388.457031 1557948153.6120
MEM 384.605469 1557948153.7265
MEM 695.105469 1557948153.8420
MEM 695.109375 1557948153.9587
MEM 612.449219 1557948154.0739
MEM 329.460938 1557948154.1888
MEM 328.578125 1557948154.3037
MEM 695.105469 1557948154.4192
MEM 814.660156 1557948154.5352
MEM 612.671875 1557948154.6502
MEM 216.308594 1557948154.7652
MEM 214.457031 1557948154.8800
MEM 618.667969 1557948154.9950
MEM 526.453125 1557948155.1112
MEM 710.367188 1557948155.2263
MEM 655.824219 1557948155.3417
MEM 328.308594 1557948155.4565
MEM 478.667969 1557948155.5715
MEM 695.105469 1557948155.6870
MEM 594.367188 1557948155.8018
MEM 646.414062 1557948155.9175
MEM 226.312500 1557948156.0325
MEM 550.531250 1557948156.1484
MEM 695.109375 1557948156.2640
MEM 817.187500 1557948156.3797
MEM 637.066406 1557948156.4947
MEM 404.460938 1557948156.6096
MEM 404.609375 1557948156.7255
MEM 695.109375 1557948156.8411
MEM 621.113281 1557948156.9593
MEM 610.160156 1557948157.0746
MEM 404.515625 1557948157.1895
MEM 402.664062 1557948157.3046
MEM 699.164062 1557948157.4202
MEM 699.167969 1557948157.5385
MEM 614.214844 1557948157.6537
MEM 400.550781 1557948157.7687
MEM 398.699219 1557948157.8839
MEM 699.199219 1557948157.9996
MEM 699.203125 1557948158.1179
MEM 617.996094 1557948158.2331
MEM 334.031250 1557948158.3480
MEM 332.988281 1557948158.4628
MEM 699.199219 1557948158.5785
MEM 819.277344 1557948158.6943
MEM 614.765625 1557948158.8092
MEM 234.402344 1557948158.9241
MEM 232.550781 1557948159.0390
MEM 638.761719 1557948159.1540
MEM 546.546875 1557948159.2699
MEM 714.460938 1557948159.3850
MEM 659.917969 1557948159.5001
MEM 344.550781 1557948159.6150
MEM 498.761719 1557948159.7300
MEM 699.199219 1557948159.8453
MEM 614.460938 1557948159.9602
MEM 653.769531 1557948160.0755
MEM 558.699219 1557948160.1916
MEM 805.882812 1557948160.3065
MEM 874.382812 1557948160.4269
MEM 499.429688 1557948160.5422
MEM 788.234375 1557948160.6581
MEM 467.503906 1557948160.7735
MEM 205.281250 1557948160.8876
MEM 251.261719 1557948161.0153
MEM 332.335938 1557948161.1436
MEM 458.410156 1557948161.2662
MEM 98.601562 1557948161.3818
MEM 110.000000 1557948161.5012
MEM 117.601562 1557948161.6193
MEM 133.867188 1557948161.7419
MEM 139.289062 1557948161.8620
MEM 142.406250 1557948161.9781
MEM 150.230469 1557948162.0993
MEM 157.621094 1557948162.2180
MEM 163.273438 1557948162.3322
MEM 176.988281 1557948162.4497
MEM 179.433594 1557948162.5671
MEM 180.750000 1557948162.6875
MEM 225.765625 1557948162.8125
MEM 254.101562 1557948162.9384
MEM 300.417969 1557948163.0639
MEM 343.445312 1557948163.1821
MEM 525.117188 1557948163.2973
MEM 1057.121094 1557948163.4125
MEM 1108.902344 1557948163.5278
MEM 1086.898438 1557948163.6428
MEM 1108.902344 1557948163.7586
MEM 1108.902344 1557948163.8744
MEM 1078.386719 1557948163.9901
MEM 1108.902344 1557948164.1055
MEM 1108.906250 1557948164.2208
MEM 1108.906250 1557948164.3360
MEM 1108.906250 1557948164.4523
MEM 1078.390625 1557948164.5679
MEM 1108.906250 1557948164.6837
MEM 1108.906250 1557948164.7992
MEM 1063.128906 1557948164.9146
MEM 1108.906250 1557948165.0301
MEM 1080.902344 1557948165.1452
MEM 1108.906250 1557948165.2612
MEM 1108.906250 1557948165.3770
MEM 1077.289062 1557948165.4926
MEM 1108.906250 1557948165.6083
MEM 1108.906250 1557948165.7236
MEM 1108.906250 1557948165.8387
MEM 1108.906250 1557948165.9547
MEM 1078.390625 1557948166.0704
MEM 1108.906250 1557948166.1863
MEM 1108.906250 1557948166.3018
MEM 1063.128906 1557948166.4174
MEM 1108.910156 1557948166.5328
MEM 1078.906250 1557948166.6480
MEM 1108.910156 1557948166.7641
MEM 1108.910156 1557948166.8799
MEM 1072.906250 1557948166.9954
MEM 1108.910156 1557948167.1111
MEM 1108.910156 1557948167.2264
MEM 1108.910156 1557948167.3415
MEM 1108.910156 1557948167.4584
MEM 1078.394531 1557948167.5739
MEM 1108.910156 1557948167.6897
MEM 1108.910156 1557948167.8055
MEM 1062.906250 1557948167.9211
MEM 1108.910156 1557948168.0364
MEM 1078.394531 1557948168.1518
MEM 1108.910156 1557948168.2679
MEM 1108.910156 1557948168.3838
MEM 1066.906250 1557948168.4995
MEM 1108.910156 1557948168.6152
MEM 1108.914062 1557948168.7305
MEM 1108.914062 1557948168.8459
MEM 1108.914062 1557948168.9620
MEM 1078.398438 1557948169.0775
MEM 1108.914062 1557948169.1931
MEM 1108.914062 1557948169.3087
MEM 1048.003906 1557948169.4241
MEM 1108.914062 1557948169.5394
MEM 1078.398438 1557948169.6548
MEM 1108.914062 1557948169.7706
MEM 1108.914062 1557948169.8865
MEM 1063.136719 1557948170.0022
MEM 1108.914062 1557948170.1177
MEM 1092.910156 1557948170.2328
MEM 1108.914062 1557948170.3485
MEM 1108.914062 1557948170.4646
MEM 1078.398438 1557948170.5802
MEM 1108.914062 1557948170.6959
MEM 1108.914062 1557948170.8114
MEM 1108.914062 1557948170.9267
MEM 1108.917969 1557948171.0424
MEM 1078.402344 1557948171.1579
MEM 1108.917969 1557948171.2737
MEM 1108.917969 1557948171.3894
MEM 1063.140625 1557948171.5050
MEM 1108.917969 1557948171.6205
MEM 1090.914062 1557948171.7356
MEM 1108.917969 1557948171.8514
MEM 1108.917969 1557948171.9675
MEM 1078.402344 1557948172.0830
MEM 1108.917969 1557948172.1987
MEM 1108.917969 1557948172.3141
MEM 1108.917969 1557948172.4294
MEM 1108.917969 1557948172.5453
MEM 1078.402344 1557948172.6609
MEM 1108.917969 1557948172.7767
MEM 1108.917969 1557948172.8923
MEM 1063.140625 1557948173.0080
MEM 1108.917969 1557948173.1235
MEM 1084.917969 1557948173.2385
MEM 1108.921875 1557948173.3545
MEM 1108.921875 1557948173.4704
MEM 1078.406250 1557948173.5864
MEM 1108.921875 1557948173.7021
MEM 1108.921875 1557948173.8175
MEM 1108.921875 1557948173.9327
MEM 1108.921875 1557948174.0486
MEM 1078.406250 1557948174.1644
MEM 1108.921875 1557948174.2804
MEM 1108.921875 1557948174.3962
MEM 1063.144531 1557948174.5120
MEM 1108.921875 1557948174.6274
MEM 1080.917969 1557948174.7427
MEM 1108.921875 1557948174.8588
MEM 1108.921875 1557948174.9747
MEM 1072.917969 1557948175.0903
MEM 1108.921875 1557948175.2059
MEM 1108.921875 1557948175.3212
MEM 1108.921875 1557948175.4364
MEM 1108.925781 1557948175.5523
MEM 1078.410156 1557948175.6679
MEM 1108.925781 1557948175.7836
MEM 1108.925781 1557948175.8993
MEM 1048.636719 1557948176.0149
MEM 1108.925781 1557948176.1300
MEM 1078.410156 1557948176.2454
MEM 1108.925781 1557948176.3615
MEM 1108.925781 1557948176.4775
MEM 1068.921875 1557948176.5933
MEM 1108.925781 1557948176.7089
MEM 1108.925781 1557948176.8242
MEM 1108.925781 1557948176.9394
MEM 1108.925781 1557948177.0555
MEM 1078.410156 1557948177.1711
MEM 1108.925781 1557948177.2869
MEM 1108.925781 1557948177.4025
MEM 1048.015625 1557948177.5180
MEM 1108.925781 1557948177.6332
MEM 1078.414062 1557948177.7488
MEM 1108.929688 1557948177.8649
MEM 1108.929688 1557948177.9807
MEM 1063.152344 1557948178.0964
MEM 1108.929688 1557948178.2123
MEM 1108.925781 1557948178.3276
MEM 1108.929688 1557948178.4435
MEM 1108.929688 1557948178.5594
MEM 1078.414062 1557948178.6750
MEM 1108.929688 1557948178.7906
MEM 1108.929688 1557948178.9063
MEM 1048.019531 1557948179.0218
MEM 1108.929688 1557948179.1373
MEM 1078.414062 1557948179.2528
MEM 1108.929688 1557948179.3687
