CMDLINE python do_luvoir_AWS_test.py
MEM 177.066406 1557856601.6334
MEM 177.066406 1557856601.7452
MEM 177.066406 1557856601.8562
MEM 177.066406 1557856601.9693
MEM 177.070312 1557856602.0810
MEM 177.070312 1557856602.1928
MEM 177.070312 1557856602.3046
MEM 177.070312 1557856602.4136
MEM 177.070312 1557856602.5270
MEM 177.070312 1557856602.6372
MEM 177.070312 1557856602.7451
MEM 177.070312 1557856602.8540
MEM 177.070312 1557856602.9620
MEM 177.070312 1557856603.0753
MEM 177.070312 1557856603.1862
MEM 177.070312 1557856603.2959
MEM 177.070312 1557856603.4075
MEM 177.070312 1557856603.5187
MEM 177.070312 1557856603.6314
MEM 177.070312 1557856603.7409
MEM 177.070312 1557856603.8511
MEM 177.070312 1557856603.9658
MEM 177.070312 1557856604.0772
MEM 177.070312 1557856604.1877
MEM 177.070312 1557856604.3019
MEM 178.242188 1557856604.4114
MEM 179.527344 1557856604.5178
MEM 181.105469 1557856604.6287
MEM 182.554688 1557856604.7355
MEM 184.042969 1557856604.8421
MEM 185.574219 1557856604.9516
MEM 187.105469 1557856605.0599
MEM 188.628906 1557856605.1684
MEM 190.117188 1557856605.2747
MEM 191.695312 1557856605.3852
MEM 193.140625 1557856605.4917
MEM 194.710938 1557856605.6022
MEM 196.250000 1557856605.7085
MEM 197.738281 1557856605.8148
MEM 199.304688 1557856605.9259
MEM 200.835938 1557856606.0352
MEM 202.285156 1557856606.1416
MEM 203.824219 1557856606.2509
MEM 281.628906 1557856606.3574
MEM 358.847656 1557856606.4649
MEM 402.371094 1557856606.5753
MEM 402.550781 1557856606.6822
MEM 402.585938 1557856606.7935
MEM 409.074219 1557856606.9001
MEM 507.968750 1557856607.0069
MEM 544.519531 1557856607.1184
MEM 544.546875 1557856607.2290
MEM 544.546875 1557856607.3378
MEM 602.078125 1557856607.4471
MEM 615.511719 1557856607.5574
MEM 615.535156 1557856607.6640
MEM 493.351562 1557856607.7714
MEM 493.382812 1557856607.8803
MEM 497.605469 1557856607.9878
MEM 501.902344 1557856608.1000
MEM 502.503906 1557856608.2099
MEM 502.601562 1557856608.3221
MEM 502.664062 1557856608.4343
MEM 502.691406 1557856608.5421
MEM 502.710938 1557856608.6503
MEM 502.714844 1557856608.7591
MEM 502.824219 1557856608.8679
MEM 502.843750 1557856608.9760
MEM 502.847656 1557856609.0873
MEM 502.847656 1557856609.1974
MEM 502.984375 1557856609.3052
MEM 503.015625 1557856609.4152
MEM 503.019531 1557856609.5270
MEM 503.019531 1557856609.6391
MEM 503.023438 1557856609.7457
MEM 503.023438 1557856609.8557
MEM 503.046875 1557856609.9645
MEM 503.046875 1557856610.0725
MEM 503.046875 1557856610.1794
MEM 502.539062 1557856610.2895
MEM 377.972656 1557856610.3961
MEM 416.953125 1557856610.5052
MEM 416.953125 1557856610.6167
MEM 416.953125 1557856610.7236
MEM 426.910156 1557856610.8331
MEM 522.769531 1557856610.9422
MEM 558.851562 1557856611.0537
MEM 558.855469 1557856611.1655
MEM 558.855469 1557856611.2737
MEM 615.515625 1557856611.3804
MEM 629.800781 1557856611.4870
MEM 628.914062 1557856611.5986
MEM 495.894531 1557856611.7087
MEM 497.289062 1557856611.8197
MEM 500.406250 1557856611.9313
MEM 503.187500 1557856612.0439
MEM 503.535156 1557856612.1508
MEM 503.562500 1557856612.2594
MEM 503.597656 1557856612.3697
MEM 503.628906 1557856612.4807
MEM 503.648438 1557856612.5884
MEM 503.660156 1557856612.6961
MEM 503.667969 1557856612.8055
MEM 503.667969 1557856612.9129
MEM 503.667969 1557856613.0205
MEM 503.671875 1557856613.1283
MEM 503.703125 1557856613.2391
MEM 503.855469 1557856613.3501
MEM 503.894531 1557856613.4644
MEM 503.902344 1557856613.5711
MEM 503.906250 1557856613.6777
MEM 503.914062 1557856613.7850
MEM 503.917969 1557856613.8919
MEM 429.890625 1557856614.0019
MEM 182.792969 1557856614.1095
MEM 186.582031 1557856614.2199
MEM 194.039062 1557856614.3307
MEM 198.339844 1557856614.4371
MEM 201.277344 1557856614.5435
MEM 201.761719 1557856614.6552
MEM 65.785156 1557856614.7620
MEM 67.804688 1557856614.8690
MEM 71.445312 1557856614.9767
MEM 77.871094 1557856615.0830
MEM 84.617188 1557856615.1893
MEM 88.789062 1557856615.2956
MEM 102.488281 1557856615.4040
MEM 107.992188 1557856615.5131
MEM 109.093750 1557856615.6193
MEM 109.343750 1557856615.7253
MEM 110.500000 1557856615.8356
MEM 113.382812 1557856615.9450
MEM 115.257812 1557856616.0549
MEM 116.484375 1557856616.1645
MEM 126.894531 1557856616.2775
MEM 127.542969 1557856616.3899
MEM 128.203125 1557856616.5023
MEM 131.464844 1557856616.6137
MEM 131.683594 1557856616.7250
MEM 131.882812 1557856616.8352
MEM 131.925781 1557856616.9451
MEM 132.496094 1557856617.0547
MEM 120.214844 1557856617.1612
MEM 115.707031 1557856617.2676
