CMDLINE python do_luvoir_AWS_test.py
MEM 2.644531 1557856589.6289
MEM 13.582031 1557856589.7399
MEM 25.125000 1557856589.8464
MEM 35.613281 1557856589.9572
MEM 37.621094 1557856590.0685
MEM 39.394531 1557856590.1749
MEM 50.011719 1557856590.2814
MEM 58.578125 1557856590.3886
MEM 65.691406 1557856590.4952
MEM 82.089844 1557856590.6057
MEM 96.562500 1557856590.7148
MEM 104.136719 1557856590.8224
MEM 106.363281 1557856590.9339
MEM 117.691406 1557856591.0443
MEM 126.410156 1557856591.1557
MEM 145.664062 1557856591.2665
MEM 147.234375 1557856591.3779
MEM 152.781250 1557856591.4851
MEM 165.601562 1557856591.5963
MEM 167.656250 1557856591.7071
MEM 168.082031 1557856591.8208
MEM 168.292969 1557856591.9346
MEM 168.636719 1557856592.0444
MEM 168.960938 1557856592.1560
MEM 169.148438 1557856592.2709
MEM 169.332031 1557856592.3786
MEM 169.515625 1557856592.4890
MEM 169.777344 1557856592.6001
MEM 169.972656 1557856592.7132
MEM 170.156250 1557856592.8227
MEM 170.355469 1557856592.9346
MEM 170.531250 1557856593.0434
MEM 170.777344 1557856593.1530
MEM 170.957031 1557856593.2634
MEM 171.144531 1557856593.3733
MEM 171.324219 1557856593.4822
MEM 171.539062 1557856593.5952
MEM 171.746094 1557856593.7070
MEM 171.953125 1557856593.8215
MEM 172.132812 1557856593.9346
MEM 172.335938 1557856594.0451
MEM 172.539062 1557856594.1550
MEM 172.816406 1557856594.2651
MEM 173.007812 1557856594.3757
MEM 173.265625 1557856594.4845
MEM 173.457031 1557856594.5950
MEM 173.652344 1557856594.7076
MEM 173.843750 1557856594.8215
MEM 174.039062 1557856594.9287
MEM 174.250000 1557856595.0381
MEM 174.441406 1557856595.1518
MEM 174.617188 1557856595.2615
MEM 174.808594 1557856595.3757
MEM 174.992188 1557856595.4854
MEM 175.273438 1557856595.5983
MEM 175.449219 1557856595.7094
MEM 175.660156 1557856595.8206
MEM 175.914062 1557856595.9273
MEM 176.085938 1557856596.0378
MEM 176.085938 1557856596.1500
MEM 176.085938 1557856596.2598
MEM 176.085938 1557856596.3729
MEM 176.085938 1557856596.4821
MEM 176.085938 1557856596.5908
MEM 176.066406 1557856596.7032
MEM 176.054688 1557856596.8117
MEM 175.832031 1557856596.9195
MEM 174.128906 1557856597.0260
MEM 175.148438 1557856597.1354
MEM 176.632812 1557856597.2437
MEM 178.160156 1557856597.3518
MEM 173.859375 1557856597.4618
MEM 175.421875 1557856597.5732
MEM 176.914062 1557856597.6796
MEM 178.402344 1557856597.7860
MEM 179.894531 1557856597.8928
MEM 181.460938 1557856598.0042
MEM 182.996094 1557856598.1120
MEM 184.484375 1557856598.2183
MEM 186.019531 1557856598.3265
MEM 187.503906 1557856598.4341
MEM 188.996094 1557856598.5417
MEM 174.429688 1557856598.6531
MEM 175.203125 1557856598.7641
MEM 176.992188 1557856598.8771
MEM 176.992188 1557856598.9864
MEM 176.992188 1557856599.0998
MEM 176.992188 1557856599.2083
MEM 176.992188 1557856599.3155
MEM 176.992188 1557856599.4250
MEM 177.066406 1557856599.5328
MEM 177.066406 1557856599.6422
MEM 177.066406 1557856599.7522
MEM 177.066406 1557856599.8627
MEM 177.066406 1557856599.9751
MEM 177.066406 1557856600.0851
MEM 177.066406 1557856600.1961
MEM 177.066406 1557856600.3055
MEM 177.066406 1557856600.4162
MEM 177.066406 1557856600.5261
MEM 177.066406 1557856600.6360
MEM 177.066406 1557856600.7443
MEM 177.066406 1557856600.8549
MEM 177.066406 1557856600.9661
MEM 177.066406 1557856601.0777
MEM 177.066406 1557856601.1900
MEM 177.066406 1557856601.2998
MEM 177.066406 1557856601.4114
MEM 177.066406 1557856601.5247
