CMDLINE python do_luvoir_telserv3_BW10_small_N500.py
MEM 99.230469 1558535107.1643
MEM 130.007812 1558535107.2831
MEM 156.988281 1558535107.4033
MEM 145.343750 1558535107.5238
MEM 177.664062 1558535107.6436
MEM 160.398438 1558535107.7627
MEM 121.007812 1558535107.8820
MEM 148.488281 1558535108.0002
MEM 158.535156 1558535108.1192
MEM 165.378906 1558535108.2394
MEM 160.402344 1558535108.3597
MEM 121.011719 1558535108.4794
MEM 130.011719 1558535108.5984
MEM 148.539062 1558535108.7175
MEM 137.570312 1558535108.8360
MEM 176.121094 1558535108.9555
MEM 160.402344 1558535109.0753
MEM 91.234375 1558535109.1955
MEM 156.492188 1558535109.3146
MEM 158.539062 1558535109.4334
MEM 173.378906 1558535109.5517
MEM 160.402344 1558535109.6710
MEM 90.199219 1558535109.7909
MEM 136.261719 1558535109.9116
MEM 158.789062 1558535110.0313
MEM 159.628906 1558535110.1505
MEM 160.652344 1558535110.2715
MEM 119.261719 1558535110.3903
MEM 126.261719 1558535110.5084
MEM 152.789062 1558535110.6279
MEM 143.597656 1558535110.7478
MEM 177.917969 1558535110.8685
MEM 160.652344 1558535110.9885
MEM 121.261719 1558535111.1082
MEM 146.785156 1558535111.2271
MEM 159.136719 1558535111.3459
MEM 163.964844 1558535111.4643
MEM 161.003906 1558535111.5840
MEM 113.609375 1558535111.7043
MEM 130.617188 1558535111.8241
MEM 159.144531 1558535111.9434
MEM 159.984375 1558535112.0626
MEM 154.003906 1558535112.1810
MEM 106.843750 1558535112.3003
MEM 111.617188 1558535112.4202
MEM 143.144531 1558535112.5402
MEM 136.269531 1558535112.6600
MEM 178.648438 1558535112.7791
MEM 96.398438 1558535112.8982
MEM 108.175781 1558535113.0164
MEM 157.656250 1558535113.1359
MEM 125.960938 1558535113.2560
MEM 176.769531 1558535113.3766
MEM 91.113281 1558535113.4963
MEM 112.175781 1558535113.6157
MEM 145.703125 1558535113.7345
MEM 138.734375 1558535113.8533
MEM 176.769531 1558535113.9721
MEM 161.585938 1558535114.0918
MEM 98.812500 1558535114.2122
MEM 132.257812 1558535114.3321
MEM 129.355469 1558535114.4512
MEM 177.398438 1558535114.5703
MEM 162.195312 1558535114.6890
MEM 193.039062 1558535114.8078
MEM 77.910156 1558535114.9278
MEM 96.960938 1558535115.0485
MEM 99.750000 1558535115.1688
MEM 104.394531 1558535115.2883
MEM 105.089844 1558535115.4079
MEM 108.625000 1558535115.5271
MEM 111.433594 1558535115.6463
MEM 113.343750 1558535115.7653
MEM 118.371094 1558535115.8854
MEM 122.031250 1558535116.0058
MEM 126.476562 1558535116.1266
MEM 129.089844 1558535116.2478
MEM 132.988281 1558535116.3685
MEM 133.882812 1558535116.4896
MEM 134.136719 1558535116.6105
MEM 134.136719 1558535116.7316
MEM 134.136719 1558535116.8520
MEM 134.523438 1558535116.9723
MEM 134.523438 1558535117.0918
MEM 134.523438 1558535117.2114
MEM 134.523438 1558535117.3308
MEM 135.363281 1558535117.4501
MEM 137.773438 1558535117.5691
MEM 141.980469 1558535117.6891
MEM 148.328125 1558535117.8091
MEM 151.214844 1558535117.9296
MEM 153.203125 1558535118.0496
MEM 156.214844 1558535118.1691
MEM 166.910156 1558535118.2888
MEM 169.789062 1558535118.4080
MEM 172.750000 1558535118.5271
MEM 177.070312 1558535118.6473
MEM 179.093750 1558535118.7616
MEM 180.296875 1558535118.8818
MEM 181.535156 1558535118.9984
MEM 183.140625 1558535119.1188
MEM 186.332031 1558535119.2303
MEM 208.531250 1558535119.3445
MEM 214.574219 1558535119.4601
MEM 235.714844 1558535119.5744
MEM 274.753906 1558535119.6953
MEM 774.464844 1558535119.8156
MEM 977.742188 1558535119.9352
MEM 977.742188 1558535120.0555
MEM 977.742188 1558535120.1686
MEM 977.742188 1558535120.2812
MEM 977.742188 1558535120.3943
MEM 977.742188 1558535120.5074
MEM 977.742188 1558535120.6207
MEM 979.546875 1558535120.7357
MEM 979.628906 1558535120.8489
MEM 979.628906 1558535120.9621
MEM 979.628906 1558535121.0755
MEM 979.632812 1558535121.1884
MEM 979.648438 1558535121.3016
MEM 979.648438 1558535121.4148
MEM 979.652344 1558535121.5278
MEM 979.652344 1558535121.6407
MEM 979.656250 1558535121.7540
MEM 979.656250 1558535121.8672
MEM 979.660156 1558535121.9803
MEM 979.660156 1558535122.0935
MEM 979.660156 1558535122.2062
MEM 979.660156 1558535122.3203
MEM 979.660156 1558535122.4330
MEM 979.667969 1558535122.5507
MEM 979.667969 1558535122.6640
MEM 979.667969 1558535122.7772
MEM 979.667969 1558535122.8902
MEM 979.671875 1558535123.0031
MEM 979.671875 1558535123.1160
MEM 979.671875 1558535123.2287
MEM 979.671875 1558535123.3418
MEM 979.671875 1558535123.4546
MEM 979.671875 1558535123.5678
MEM 979.671875 1558535123.6810
MEM 979.671875 1558535123.7942
MEM 979.671875 1558535123.9069
MEM 979.671875 1558535124.0201
MEM 979.671875 1558535124.1330
MEM 979.671875 1558535124.2459
MEM 979.671875 1558535124.3590
MEM 979.671875 1558535124.4721
MEM 979.687500 1558535124.5855
MEM 979.687500 1558535124.6984
MEM 979.687500 1558535124.8116
MEM 979.691406 1558535124.9245
MEM 979.691406 1558535125.0366
MEM 979.691406 1558535125.1498
MEM 979.703125 1558535125.2629
MEM 979.703125 1558535125.3757
MEM 979.703125 1558535125.4890
MEM 979.703125 1558535125.6024
MEM 979.703125 1558535125.7155
MEM 979.714844 1558535125.8281
MEM 979.718750 1558535125.9409
MEM 979.718750 1558535126.0541
MEM 979.718750 1558535126.1672
MEM 979.718750 1558535126.2800
MEM 979.718750 1558535126.3929
MEM 979.718750 1558535126.5063
MEM 979.730469 1558535126.6189
MEM 979.730469 1558535126.7321
MEM 979.730469 1558535126.8453
MEM 979.730469 1558535126.9578
MEM 979.730469 1558535127.0704
MEM 979.730469 1558535127.1836
MEM 979.730469 1558535127.2967
MEM 979.730469 1558535127.4096
MEM 979.730469 1558535127.5226
MEM 979.730469 1558535127.6358
MEM 979.730469 1558535127.7486
MEM 979.730469 1558535127.8618
MEM 979.730469 1558535127.9751
MEM 979.730469 1558535128.0882
MEM 979.769531 1558535128.2014
MEM 979.769531 1558535128.3147
MEM 979.769531 1558535128.4276
MEM 979.769531 1558535128.5401
MEM 979.769531 1558535128.6534
MEM 979.769531 1558535128.7664
MEM 979.769531 1558535128.8793
MEM 979.769531 1558535128.9921
MEM 979.769531 1558535129.1051
MEM 979.796875 1558535129.2177
MEM 979.796875 1558535129.3310
MEM 979.796875 1558535129.4440
MEM 979.796875 1558535129.5567
MEM 979.796875 1558535129.6699
MEM 979.808594 1558535129.7831
MEM 979.808594 1558535129.8962
MEM 979.808594 1558535130.0092
MEM 979.808594 1558535130.1224
MEM 979.816406 1558535130.2357
MEM 979.816406 1558535130.3485
MEM 979.816406 1558535130.4616
MEM 979.816406 1558535130.5745
MEM 979.816406 1558535130.6871
MEM 979.816406 1558535130.8003
MEM 979.816406 1558535130.9135
MEM 979.816406 1558535131.0262
MEM 979.816406 1558535131.1394
MEM 979.839844 1558535131.2538
MEM 979.839844 1558535131.3670
MEM 979.839844 1558535131.4802
MEM 979.839844 1558535131.5928
MEM 979.839844 1558535131.7061
MEM 979.839844 1558535131.8192
MEM 979.839844 1558535131.9314
MEM 979.839844 1558535132.0447
MEM 979.839844 1558535132.1577
MEM 979.839844 1558535132.2705
MEM 979.839844 1558535132.3835
MEM 979.839844 1558535132.4968
MEM 979.839844 1558535132.6097
MEM 979.839844 1558535132.7230
MEM 979.839844 1558535132.8360
MEM 979.839844 1558535132.9491
MEM 979.839844 1558535133.0616
MEM 979.839844 1558535133.1749
MEM 979.839844 1558535133.2880
MEM 979.839844 1558535133.4006
MEM 979.839844 1558535133.5139
MEM 979.875000 1558535133.6268
MEM 979.875000 1558535133.7396
MEM 979.875000 1558535133.8529
MEM 979.875000 1558535133.9658
MEM 979.878906 1558535134.0788
MEM 979.878906 1558535134.1920
MEM 979.878906 1558535134.3052
MEM 979.878906 1558535134.4180
MEM 979.878906 1558535134.5313
MEM 979.878906 1558535134.6445
MEM 979.878906 1558535134.7572
MEM 979.878906 1558535134.8703
MEM 979.878906 1558535134.9835
MEM 979.878906 1558535135.0961
MEM 979.878906 1558535135.2092
MEM 979.878906 1558535135.3223
MEM 979.878906 1558535135.4355
MEM 979.878906 1558535135.5490
MEM 979.894531 1558535135.6625
MEM 979.894531 1558535135.7757
MEM 979.894531 1558535135.8884
MEM 979.894531 1558535136.0016
MEM 979.894531 1558535136.1144
MEM 979.894531 1558535136.2274
MEM 979.894531 1558535136.3406
MEM 979.894531 1558535136.4538
MEM 979.894531 1558535136.5664
MEM 979.894531 1558535136.6796
MEM 979.894531 1558535136.7926
MEM 979.894531 1558535136.9057
MEM 979.894531 1558535137.0188
MEM 979.894531 1558535137.1318
MEM 979.894531 1558535137.2449
MEM 979.910156 1558535137.3579
MEM 979.910156 1558535137.4710
MEM 979.910156 1558535137.5842
MEM 979.910156 1558535137.6971
MEM 979.910156 1558535137.8102
MEM 979.910156 1558535137.9233
MEM 979.910156 1558535138.0359
MEM 979.910156 1558535138.1491
MEM 979.910156 1558535138.2623
MEM 979.910156 1558535138.3750
MEM 979.910156 1558535138.4882
MEM 979.910156 1558535138.6014
MEM 979.910156 1558535138.7144
MEM 979.910156 1558535138.8272
MEM 979.910156 1558535138.9404
MEM 979.910156 1558535139.0533
MEM 979.929688 1558535139.1662
MEM 979.929688 1558535139.2790
MEM 979.929688 1558535139.3922
MEM 979.929688 1558535139.5055
MEM 979.929688 1558535139.6184
MEM 979.929688 1558535139.7316
MEM 979.929688 1558535139.8447
MEM 979.929688 1558535139.9576
MEM 979.929688 1558535140.0708
MEM 979.929688 1558535140.1840
MEM 979.929688 1558535140.2971
MEM 979.929688 1558535140.4101
MEM 979.929688 1558535140.5234
MEM 979.929688 1558535140.6364
MEM 979.929688 1558535140.7497
MEM 979.929688 1558535140.8629
MEM 979.929688 1558535140.9762
MEM 979.929688 1558535141.0887
MEM 979.929688 1558535141.2016
MEM 979.929688 1558535141.3146
MEM 979.929688 1558535141.4272
MEM 979.929688 1558535141.5405
MEM 979.929688 1558535141.6535
MEM 979.929688 1558535141.7663
MEM 979.929688 1558535141.8794
MEM 979.929688 1558535141.9923
MEM 979.949219 1558535142.1051
MEM 979.949219 1558535142.2182
MEM 979.949219 1558535142.3313
MEM 979.949219 1558535142.4440
MEM 979.949219 1558535142.5575
MEM 979.949219 1558535142.6706
MEM 979.949219 1558535142.7836
MEM 979.949219 1558535142.8968
MEM 979.949219 1558535143.0102
MEM 979.960938 1558535143.1229
MEM 979.960938 1558535143.2353
MEM 979.960938 1558535143.3485
MEM 979.960938 1558535143.4613
MEM 979.960938 1558535143.5742
MEM 979.960938 1558535143.6873
MEM 979.960938 1558535143.8002
MEM 979.960938 1558535143.9130
MEM 979.960938 1558535144.0263
MEM 979.960938 1558535144.1393
MEM 979.960938 1558535144.2520
MEM 979.960938 1558535144.3653
MEM 979.960938 1558535144.4786
MEM 979.960938 1558535144.5915
MEM 979.960938 1558535144.7046
MEM 979.960938 1558535144.8178
MEM 979.960938 1558535144.9305
MEM 979.960938 1558535145.0438
MEM 979.960938 1558535145.1567
MEM 979.960938 1558535145.2695
MEM 979.984375 1558535145.3834
MEM 979.984375 1558535145.4966
MEM 979.984375 1558535145.6096
MEM 979.984375 1558535145.7224
MEM 979.984375 1558535145.8356
MEM 979.984375 1558535145.9488
MEM 979.984375 1558535146.0616
MEM 979.984375 1558535146.1747
MEM 979.984375 1558535146.2879
MEM 979.984375 1558535146.4004
MEM 979.984375 1558535146.5136
MEM 979.984375 1558535146.6266
MEM 979.984375 1558535146.7393
MEM 979.984375 1558535146.8524
MEM 979.984375 1558535146.9655
MEM 979.984375 1558535147.0784
MEM 980.003906 1558535147.1913
MEM 980.003906 1558535147.3041
MEM 980.003906 1558535147.4173
MEM 980.003906 1558535147.5304
MEM 980.003906 1558535147.6435
MEM 980.003906 1558535147.7568
MEM 980.003906 1558535147.8688
MEM 980.003906 1558535147.9820
MEM 980.003906 1558535148.0965
MEM 980.003906 1558535148.2108
MEM 980.003906 1558535148.3241
MEM 980.003906 1558535148.4371
MEM 980.003906 1558535148.5504
MEM 980.003906 1558535148.6636
MEM 980.003906 1558535148.7766
MEM 980.003906 1558535148.8898
MEM 980.003906 1558535149.0030
MEM 980.003906 1558535149.1161
MEM 980.003906 1558535149.2284
MEM 980.003906 1558535149.3414
MEM 980.003906 1558535149.4545
MEM 980.003906 1558535149.5675
MEM 980.003906 1558535149.6806
MEM 980.003906 1558535149.7934
MEM 980.003906 1558535149.9060
MEM 980.027344 1558535150.0185
MEM 980.027344 1558535150.1314
MEM 980.027344 1558535150.2446
MEM 980.027344 1558535150.3576
MEM 980.027344 1558535150.4705
MEM 980.027344 1558535150.5837
MEM 980.027344 1558535150.6968
MEM 980.027344 1558535150.8094
MEM 980.027344 1558535150.9227
MEM 980.027344 1558535151.0358
MEM 980.027344 1558535151.1485
MEM 980.027344 1558535151.2615
MEM 980.027344 1558535151.3743
MEM 980.027344 1558535151.4872
MEM 980.027344 1558535151.5999
MEM 980.027344 1558535151.7132
MEM 980.027344 1558535151.8265
MEM 980.027344 1558535151.9397
MEM 980.027344 1558535152.0528
MEM 980.027344 1558535152.1659
MEM 980.027344 1558535152.2792
MEM 980.027344 1558535152.3923
MEM 980.027344 1558535152.5053
MEM 980.027344 1558535152.6184
MEM 980.027344 1558535152.7317
MEM 980.027344 1558535152.8447
MEM 980.027344 1558535152.9577
MEM 980.027344 1558535153.0709
MEM 980.027344 1558535153.1841
MEM 980.027344 1558535153.2963
MEM 980.027344 1558535153.4093
MEM 980.027344 1558535153.5223
MEM 980.027344 1558535153.6351
MEM 980.027344 1558535153.7483
MEM 980.027344 1558535153.8610
MEM 980.062500 1558535153.9738
MEM 980.062500 1558535154.0870
MEM 980.062500 1558535154.2002
MEM 980.062500 1558535154.3129
MEM 980.062500 1558535154.4259
MEM 980.062500 1558535154.5391
MEM 980.062500 1558535154.6520
MEM 980.062500 1558535154.7652
MEM 980.062500 1558535154.8783
MEM 980.062500 1558535154.9911
MEM 980.062500 1558535155.1042
MEM 980.074219 1558535155.2174
MEM 980.074219 1558535155.3300
MEM 980.074219 1558535155.4430
MEM 980.074219 1558535155.5562
MEM 980.074219 1558535155.6693
MEM 980.074219 1558535155.7819
MEM 980.074219 1558535155.8952
MEM 980.074219 1558535156.0082
MEM 980.074219 1558535156.1209
MEM 980.074219 1558535156.2342
MEM 980.074219 1558535156.3473
MEM 980.074219 1558535156.4600
MEM 980.074219 1558535156.5731
MEM 980.074219 1558535156.6861
MEM 980.074219 1558535156.7986
MEM 980.074219 1558535156.9118
MEM 980.074219 1558535157.0248
MEM 980.074219 1558535157.1375
MEM 980.074219 1558535157.2507
MEM 980.074219 1558535157.3632
MEM 980.074219 1558535157.4758
MEM 980.074219 1558535157.5890
MEM 980.074219 1558535157.7022
MEM 980.097656 1558535157.8149
MEM 980.097656 1558535157.9280
MEM 980.097656 1558535158.0411
MEM 980.097656 1558535158.1538
MEM 980.097656 1558535158.2670
MEM 980.097656 1558535158.3799
MEM 980.097656 1558535158.4929
MEM 980.097656 1558535158.6061
MEM 980.097656 1558535158.7193
MEM 980.097656 1558535158.8320
MEM 980.097656 1558535158.9453
MEM 980.097656 1558535159.0585
MEM 980.097656 1558535159.1712
MEM 980.097656 1558535159.2843
MEM 980.097656 1558535159.3973
MEM 980.097656 1558535159.5103
MEM 980.097656 1558535159.6234
MEM 980.097656 1558535159.7367
MEM 980.097656 1558535159.8494
MEM 980.097656 1558535159.9627
MEM 980.097656 1558535160.0757
MEM 980.097656 1558535160.1889
MEM 980.097656 1558535160.3021
MEM 980.121094 1558535160.4154
MEM 980.121094 1558535160.5287
MEM 980.121094 1558535160.6416
MEM 980.121094 1558535160.7548
MEM 980.121094 1558535160.8679
MEM 980.121094 1558535160.9810
MEM 980.121094 1558535161.0940
MEM 980.121094 1558535161.2072
MEM 980.121094 1558535161.3203
MEM 980.121094 1558535161.4333
MEM 980.121094 1558535161.5465
MEM 980.121094 1558535161.6592
MEM 980.121094 1558535161.7726
MEM 980.121094 1558535161.8855
MEM 980.121094 1558535161.9982
MEM 980.121094 1558535162.1115
MEM 980.121094 1558535162.2244
MEM 980.121094 1558535162.3370
MEM 980.121094 1558535162.4501
MEM 980.121094 1558535162.5630
MEM 980.121094 1558535162.6763
MEM 980.121094 1558535162.7895
MEM 980.121094 1558535162.9023
MEM 980.121094 1558535163.0153
MEM 980.132812 1558535163.1283
MEM 980.132812 1558535163.2416
MEM 980.132812 1558535163.3589
MEM 980.132812 1558535163.4721
MEM 980.132812 1558535163.5852
MEM 980.132812 1558535163.6987
MEM 980.132812 1558535163.8117
MEM 980.132812 1558535163.9248
MEM 980.132812 1558535164.0383
MEM 980.132812 1558535164.1514
MEM 980.132812 1558535164.2643
MEM 980.132812 1558535164.3778
MEM 980.132812 1558535164.4911
MEM 980.132812 1558535164.6041
MEM 980.132812 1558535164.7174
MEM 980.132812 1558535164.8306
MEM 980.132812 1558535164.9437
MEM 980.132812 1558535165.0570
MEM 980.132812 1558535165.1703
MEM 980.132812 1558535165.2832
MEM 980.132812 1558535165.3979
MEM 980.132812 1558535165.5121
MEM 980.132812 1558535165.6259
MEM 980.132812 1558535165.7394
MEM 980.132812 1558535165.8529
MEM 980.132812 1558535165.9659
MEM 980.132812 1558535166.0792
MEM 980.132812 1558535166.1925
MEM 980.132812 1558535166.3052
MEM 980.132812 1558535166.4187
MEM 980.132812 1558535166.5332
MEM 980.132812 1558535166.6469
MEM 980.132812 1558535166.7597
MEM 980.132812 1558535166.8731
MEM 980.132812 1558535166.9864
MEM 980.132812 1558535167.0993
MEM 980.132812 1558535167.2126
MEM 980.132812 1558535167.3259
MEM 980.132812 1558535167.4385
MEM 980.132812 1558535167.5524
MEM 980.132812 1558535167.6695
MEM 980.132812 1558535167.7835
MEM 980.132812 1558535167.8969
MEM 980.132812 1558535168.0103
MEM 980.132812 1558535168.1237
MEM 980.132812 1558535168.2366
MEM 980.132812 1558535168.3500
MEM 980.132812 1558535168.4634
MEM 980.132812 1558535168.5763
MEM 980.132812 1558535168.6901
MEM 980.132812 1558535168.8043
MEM 980.132812 1558535168.9168
MEM 980.132812 1558535169.0295
MEM 980.132812 1558535169.1477
MEM 980.132812 1558535169.2621
MEM 980.132812 1558535169.3764
MEM 980.132812 1558535169.4900
MEM 980.132812 1558535169.6040
MEM 980.132812 1558535169.7177
MEM 980.132812 1558535169.8309
MEM 980.132812 1558535169.9437
MEM 980.132812 1558535170.0569
MEM 980.132812 1558535170.1700
MEM 980.132812 1558535170.2832
MEM 980.132812 1558535170.3963
MEM 980.132812 1558535170.5097
MEM 980.132812 1558535170.6226
MEM 980.132812 1558535170.7358
MEM 980.132812 1558535170.8490
MEM 980.132812 1558535170.9620
MEM 980.132812 1558535171.0752
MEM 980.132812 1558535171.1884
MEM 980.132812 1558535171.3013
MEM 980.132812 1558535171.4146
MEM 980.132812 1558535171.5276
MEM 980.132812 1558535171.6403
MEM 980.132812 1558535171.7531
MEM 980.132812 1558535171.8663
MEM 980.132812 1558535171.9794
MEM 980.132812 1558535172.0924
MEM 980.132812 1558535172.2055
MEM 980.132812 1558535172.3184
MEM 980.132812 1558535172.4310
MEM 980.132812 1558535172.5443
MEM 980.132812 1558535172.6572
MEM 980.132812 1558535172.7699
MEM 980.132812 1558535172.8832
MEM 980.132812 1558535172.9962
MEM 980.132812 1558535173.1090
MEM 980.132812 1558535173.2221
MEM 980.132812 1558535173.3353
MEM 980.132812 1558535173.4484
MEM 980.132812 1558535173.5612
MEM 980.132812 1558535173.6741
MEM 980.132812 1558535173.7873
MEM 980.132812 1558535173.9001
MEM 980.132812 1558535174.0134
MEM 980.132812 1558535174.1265
MEM 980.132812 1558535174.2398
MEM 980.132812 1558535174.3530
MEM 980.132812 1558535174.4661
MEM 980.132812 1558535174.5791
MEM 980.132812 1558535174.6922
MEM 980.218750 1558535174.8050
MEM 980.218750 1558535174.9177
MEM 980.226562 1558535175.0310
MEM 980.226562 1558535175.1438
MEM 980.226562 1558535175.2565
MEM 980.226562 1558535175.3697
MEM 980.226562 1558535175.4830
MEM 980.226562 1558535175.5955
MEM 980.226562 1558535175.7084
MEM 980.226562 1558535175.8216
MEM 980.226562 1558535175.9343
MEM 980.226562 1558535176.0475
MEM 980.226562 1558535176.1605
MEM 980.226562 1558535176.2731
MEM 980.226562 1558535176.3864
MEM 980.226562 1558535176.4997
MEM 980.226562 1558535176.6128
MEM 980.226562 1558535176.7259
MEM 980.226562 1558535176.8392
MEM 980.226562 1558535176.9519
MEM 980.226562 1558535177.0652
MEM 980.226562 1558535177.1783
MEM 980.226562 1558535177.2913
MEM 980.226562 1558535177.4044
MEM 980.226562 1558535177.5176
MEM 980.226562 1558535177.6300
MEM 980.226562 1558535177.7429
MEM 980.226562 1558535177.8561
MEM 980.226562 1558535177.9689
MEM 980.226562 1558535178.0822
MEM 980.226562 1558535178.1953
MEM 980.226562 1558535178.3085
MEM 980.226562 1558535178.4213
MEM 980.226562 1558535178.5346
MEM 980.226562 1558535178.6477
MEM 980.226562 1558535178.7603
MEM 980.226562 1558535178.8736
MEM 980.226562 1558535178.9869
MEM 980.226562 1558535179.0997
MEM 980.226562 1558535179.2133
MEM 980.226562 1558535179.3264
MEM 980.226562 1558535179.4391
MEM 980.226562 1558535179.5524
MEM 980.226562 1558535179.6653
MEM 980.226562 1558535179.7779
MEM 980.226562 1558535179.8911
MEM 980.226562 1558535180.0041
MEM 980.226562 1558535180.1170
MEM 980.226562 1558535180.2301
MEM 980.226562 1558535180.3433
MEM 980.226562 1558535180.4560
MEM 980.226562 1558535180.5693
MEM 980.226562 1558535180.6824
MEM 980.226562 1558535180.7954
MEM 980.226562 1558535180.9087
MEM 980.226562 1558535181.0221
MEM 980.226562 1558535181.1350
MEM 980.226562 1558535181.2481
MEM 980.226562 1558535181.3613
MEM 980.226562 1558535181.4744
MEM 980.226562 1558535181.5877
MEM 980.226562 1558535181.7005
MEM 980.277344 1558535181.8146
MEM 980.277344 1558535181.9277
MEM 980.277344 1558535182.0411
MEM 980.277344 1558535182.1540
MEM 980.277344 1558535182.2669
MEM 980.277344 1558535182.3800
MEM 980.277344 1558535182.4930
MEM 980.277344 1558535182.6058
MEM 980.277344 1558535182.7189
MEM 980.277344 1558535182.8321
MEM 980.277344 1558535182.9448
MEM 980.277344 1558535183.0580
MEM 980.277344 1558535183.1711
MEM 980.277344 1558535183.2841
MEM 980.277344 1558535183.3973
MEM 980.277344 1558535183.5106
MEM 980.277344 1558535183.6237
MEM 980.277344 1558535183.7364
MEM 980.277344 1558535183.8496
MEM 980.277344 1558535183.9627
MEM 980.277344 1558535184.0761
MEM 980.277344 1558535184.1893
MEM 980.277344 1558535184.3022
MEM 980.277344 1558535184.4155
MEM 980.289062 1558535184.5287
MEM 980.289062 1558535184.6416
MEM 980.289062 1558535184.7548
MEM 980.289062 1558535184.8679
MEM 980.289062 1558535184.9810
MEM 980.289062 1558535185.0942
MEM 980.289062 1558535185.2073
MEM 980.289062 1558535185.3205
MEM 980.289062 1558535185.4336
MEM 980.289062 1558535185.5468
MEM 980.289062 1558535185.6599
MEM 980.289062 1558535185.7727
MEM 980.289062 1558535185.8860
MEM 980.289062 1558535185.9990
