CMDLINE python do_luvoir_telserv3_BW10_small_N500.py
MEM 3.699219 1558535092.1708
MEM 6.542969 1558535092.2914
MEM 8.273438 1558535092.4107
MEM 8.761719 1558535092.5300
MEM 9.800781 1558535092.6485
MEM 11.890625 1558535092.7674
MEM 14.289062 1558535092.8881
MEM 15.199219 1558535093.0085
MEM 15.832031 1558535093.1288
MEM 16.109375 1558535093.2489
MEM 17.101562 1558535093.3686
MEM 17.671875 1558535093.4876
MEM 18.609375 1558535093.6065
MEM 19.527344 1558535093.7254
MEM 20.058594 1558535093.8450
MEM 20.234375 1558535093.9652
MEM 22.132812 1558535094.0856
MEM 22.160156 1558535094.2060
MEM 22.410156 1558535094.3256
MEM 22.808594 1558535094.4448
MEM 23.878906 1558535094.5630
MEM 24.261719 1558535094.6815
MEM 24.777344 1558535094.8017
MEM 26.796875 1558535094.9174
MEM 27.933594 1558535095.0365
MEM 29.253906 1558535095.1555
MEM 30.531250 1558535095.2755
MEM 32.152344 1558535095.3959
MEM 32.398438 1558535095.5165
MEM 34.070312 1558535095.6365
MEM 37.683594 1558535095.7563
MEM 37.933594 1558535095.8755
MEM 37.933594 1558535095.9943
MEM 38.226562 1558535096.1137
MEM 38.226562 1558535096.2278
MEM 38.226562 1558535096.3467
MEM 38.449219 1558535096.4655
MEM 38.898438 1558535096.5854
MEM 39.289062 1558535096.7059
MEM 39.511719 1558535096.8260
MEM 40.492188 1558535096.9457
MEM 41.542969 1558535097.0648
MEM 42.132812 1558535097.1842
MEM 42.390625 1558535097.3056
MEM 44.148438 1558535097.4192
MEM 44.546875 1558535097.5302
MEM 45.734375 1558535097.6411
MEM 48.269531 1558535097.7520
MEM 48.894531 1558535097.8629
MEM 49.460938 1558535097.9740
MEM 49.847656 1558535098.0901
MEM 50.105469 1558535098.2058
MEM 50.667969 1558535098.3166
MEM 50.910156 1558535098.4295
MEM 50.910156 1558535098.5433
MEM 50.910156 1558535098.6573
MEM 51.328125 1558535098.7682
MEM 51.328125 1558535098.8812
MEM 51.328125 1558535098.9919
MEM 53.093750 1558535099.1047
MEM 54.101562 1558535099.2161
MEM 54.347656 1558535099.3367
MEM 54.839844 1558535099.4481
MEM 55.511719 1558535099.5687
MEM 55.738281 1558535099.6888
MEM 55.949219 1558535099.8084
MEM 57.390625 1558535099.9280
MEM 58.027344 1558535100.0475
MEM 58.800781 1558535100.1661
MEM 60.242188 1558535100.2839
MEM 62.050781 1558535100.4035
MEM 64.031250 1558535100.5230
MEM 65.421875 1558535100.6417
MEM 67.742188 1558535100.7604
MEM 68.187500 1558535100.8800
MEM 69.132812 1558535101.0016
MEM 70.125000 1558535101.1225
MEM 70.355469 1558535101.2417
MEM 70.660156 1558535101.3621
MEM 70.660156 1558535101.4819
MEM 71.503906 1558535101.6013
MEM 72.949219 1558535101.7203
MEM 72.996094 1558535101.8313
MEM 73.246094 1558535101.9502
MEM 74.500000 1558535102.0689
MEM 74.757812 1558535102.1886
MEM 75.015625 1558535102.3088
MEM 75.015625 1558535102.4284
MEM 75.265625 1558535102.5475
MEM 153.246094 1558535102.6623
MEM 167.664062 1558535102.7760
MEM 152.398438 1558535102.8914
MEM 109.007812 1558535103.0043
MEM 116.007812 1558535103.1201
MEM 134.230469 1558535103.2400
MEM 150.535156 1558535103.3608
MEM 157.375000 1558535103.4779
MEM 141.378906 1558535103.5911
MEM 152.398438 1558535103.7065
MEM 118.003906 1558535103.8208
MEM 109.007812 1558535103.9415
MEM 134.535156 1558535104.0609
MEM 123.566406 1558535104.1804
MEM 169.601562 1558535104.3005
MEM 156.398438 1558535104.4204
MEM 102.750000 1558535104.5401
MEM 136.007812 1558535104.6591
MEM 154.535156 1558535104.7777
MEM 149.343750 1558535104.8963
MEM 145.394531 1558535105.0159
MEM 91.230469 1558535105.1362
MEM 102.234375 1558535105.2559
MEM 126.535156 1558535105.3745
MEM 154.535156 1558535105.4933
MEM 171.601562 1558535105.6118
MEM 156.398438 1558535105.7319
MEM 95.230469 1558535105.8519
MEM 132.007812 1558535105.9720
MEM 156.535156 1558535106.0917
MEM 156.601562 1558535106.2107
MEM 158.398438 1558535106.3299
MEM 95.230469 1558535106.4480
MEM 101.230469 1558535106.5673
MEM 152.484375 1558535106.6876
MEM 156.535156 1558535106.8079
MEM 173.601562 1558535106.9270
MEM 158.398438 1558535107.0461
